Stkcd,date,end_date,CAR,Year,Month
1,21aug2009,30jun2009,-.0052080005,2009,8
1,29oct2009,30sep2009,.028499,2009,10
1,12mar2010,31dec2009,-.018894002,2010,3
1,29apr2010,31mar2010,.022193002,2010,4
1,28oct2010,30sep2010,.011619003,2010,10
1,25feb2011,31dec2010,.013679,2011,2
1,27apr2011,31mar2011,.03283,2011,4
1,18aug2011,30jun2011,-.00051899813,2011,8
1,26oct2011,30sep2011,.000024999958,2011,10
1,09mar2012,31dec2011,-.0050219973,2012,3
1,26apr2012,31mar2012,-.012790999,2012,4
1,16aug2012,30jun2012,.0012570014,2012,8
1,26oct2012,30sep2012,.0051780003,2012,10
1,24apr2013,31mar2013,-.018068001,2013,4
1,23aug2013,30jun2013,-.048844002,2013,8
1,23oct2013,30sep2013,.066757999,2013,10
1,07mar2014,31dec2013,-.025543999,2014,3
1,14aug2014,30jun2014,-.015312001,2014,8
1,24oct2014,30sep2014,.049635001,2014,10
1,13mar2015,31dec2014,.0092899995,2015,3
1,24apr2015,31mar2015,-.048812002,2015,4
1,14aug2015,30jun2015,.021561002,2015,8
1,23oct2015,30sep2015,-.033984002,2015,10
1,10mar2016,31dec2015,-.0019039987,2016,3
1,21apr2016,31mar2016,.0022079996,2016,4
1,12aug2016,30jun2016,-.012514999,2016,8
1,21oct2016,30sep2016,.012420001,2016,10
1,17mar2017,31dec2016,-.014237999,2017,3
1,21apr2017,31mar2017,.019885,2017,4
1,20oct2017,30sep2017,-.0085269986,2017,10
1,15mar2018,31dec2017,-.0081009995,2018,3
1,20apr2018,31mar2018,.025557,2018,4
1,16aug2018,30jun2018,.021359,2018,8
1,24oct2018,30sep2018,.009914997,2018,10
1,07mar2019,31dec2018,-.028563,2019,3
1,24apr2019,31mar2019,.052176002,2019,4
1,08aug2019,30jun2019,.035040002,2019,8
1,22oct2019,30sep2019,-.0045229997,2019,10
2,27apr2009,31mar2009,.016006999,2009,4
2,04aug2009,30jun2009,-.0053420002,2009,8
2,26oct2009,30sep2009,.017134003,2009,10
2,02mar2010,31dec2009,.01168,2010,3
2,27apr2010,31mar2010,-.0057020001,2010,4
2,25oct2010,30sep2010,-.0067129992,2010,10
2,08mar2011,31dec2010,.027432,2011,3
2,20apr2011,31mar2011,-.030633001,2011,4
2,13mar2012,31dec2011,-.026318997,2012,3
2,24apr2012,31mar2012,.0053420002,2012,4
2,07aug2012,30jun2012,-.012851,2012,8
2,24oct2012,30sep2012,.000032999553,2012,10
2,28feb2013,31dec2012,-.0060770009,2013,2
2,23apr2013,31mar2013,-.014971001,2013,4
2,07aug2013,30jun2013,-.013946,2013,8
2,30oct2013,30sep2013,.069013,2013,10
2,29apr2014,31mar2014,.0093830004,2014,4
2,18aug2014,30jun2014,-.028659999,2014,8
2,27oct2014,30sep2014,-.027151002,2014,10
2,31mar2015,31dec2014,-.045249999,2015,3
2,27apr2015,31mar2015,.0031679999,2015,4
2,28oct2015,30sep2015,.024190001,2015,10
2,27mar2017,31dec2016,-.018743001,2017,3
2,28apr2017,31mar2017,-.013353001,2017,4
2,25aug2017,30jun2017,-.041568,2017,8
2,27oct2017,30sep2017,.016314998,2017,10
2,27mar2018,31dec2017,-.0054279994,2018,3
2,26apr2018,31mar2018,-.045456,2018,4
2,21aug2018,30jun2018,-.012930001,2018,8
2,26oct2018,30sep2018,-.026544001,2018,10
2,26mar2019,31dec2018,-.0014570002,2019,3
2,21aug2019,30jun2019,-.016054001,2019,8
2,25oct2019,30sep2019,-.013135999,2019,10
5,28apr2009,31mar2009,.014556999,2009,4
5,28aug2009,30jun2009,-.0072409962,2009,8
5,30oct2009,30sep2009,-.016179003,2009,10
5,30aug2010,30jun2010,-.044035997,2010,8
5,30oct2013,30sep2013,.0049599996,2013,10
5,24jul2015,30jun2015,.024725001,2015,7
5,30oct2015,30sep2015,.039574992,2015,10
5,25aug2016,30jun2016,-.0087869996,2016,8
5,31oct2016,30sep2016,-.00042200112,2016,10
5,25aug2017,30jun2017,-.022111,2017,8
5,31oct2017,30sep2017,.016156001,2017,10
5,30aug2018,30jun2018,.0011060005,2018,8
5,30oct2018,30sep2018,-.038382001,2018,10
5,29aug2019,30jun2019,.064065002,2019,8
5,30oct2019,30sep2019,-.039340001,2019,10
6,24apr2009,31mar2009,.006486,2009,4
6,12aug2009,30jun2009,.040571004,2009,8
6,30oct2009,30sep2009,.020682,2009,10
6,17mar2010,31dec2009,.028543001,2010,3
6,21apr2010,31mar2010,-.047496997,2010,4
6,06aug2010,30jun2010,.0015270002,2010,8
6,29oct2010,30sep2010,-.111237,2010,10
6,31mar2011,31dec2010,.00024600048,2011,3
6,22apr2011,31mar2011,-.024857998,2011,4
6,03aug2011,30jun2011,.0083059995,2011,8
6,28oct2011,30sep2011,-.012013,2011,10
6,10aug2012,30jun2012,.026673999,2012,8
6,19oct2012,30sep2012,.0089900009,2012,10
6,29mar2013,31dec2012,-.049852997,2013,3
6,15aug2013,30jun2013,.055682998,2013,8
6,25oct2013,30sep2013,-.021722002,2013,10
6,14mar2014,31dec2013,.045132,2014,3
6,23apr2014,31mar2014,-.013901001,2014,4
6,15aug2014,30jun2014,.030294001,2014,8
6,28aug2015,30jun2015,.041709002,2015,8
6,28oct2015,30sep2015,-.055094004,2015,10
6,30mar2016,31dec2015,.040128,2016,3
6,22apr2016,31mar2016,-.020824999,2016,4
6,19aug2016,30jun2016,-.047479,2016,8
6,31oct2016,30sep2016,-.018028999,2016,10
6,30mar2017,31dec2016,.0055809999,2017,3
6,27apr2017,31mar2017,.016131001,2017,4
6,18aug2017,30jun2017,-.0079349997,2017,8
6,26oct2018,30sep2018,.0082489997,2018,10
