Trddt,Cdretwdtl
2009-01-05,.033521999
2009-01-06,.030088
2009-01-07,-.0061400002
2009-01-08,-.023496
2009-01-09,.016166
2009-01-12,-.00095000002
2009-01-13,-.021961
2009-01-14,.037028
2009-01-15,-.0030350001
2009-01-16,.016287999
2009-01-19,.013672
2009-01-20,.0049350001
2009-01-21,-.0044860002
2009-01-22,.011035
2009-01-23,-.0068180002
2009-02-02,.012848
2009-02-03,.025232
2009-02-04,.023022
2009-02-05,-.0063749999
2009-02-06,.041618001
2009-02-09,.023317
2009-02-10,.020228
2009-02-11,-.000994
2009-02-12,-.0026070001
2009-02-13,.033921
2009-02-16,.027911
2009-02-17,-.030977
2009-02-18,-.046874002
2009-02-19,.010588
2009-02-20,.018828999
2009-02-23,.022539999
2009-02-24,-.044888999
2009-02-25,.001223
2009-02-26,-.044550002
2009-02-27,-.024351999
2009-03-02,.0085119996
2009-03-03,-.0081350002
2009-03-04,.062371999
2009-03-05,.0094809998
2009-03-06,-.011486
2009-03-09,-.036077
2009-03-10,.019335
2009-03-11,-.0086510004
2009-03-12,-.0015510001
2009-03-13,-.0031950001
2009-03-16,.012248
2009-03-17,.032442998
2009-03-18,.0042170002
2009-03-19,.01946
2009-03-20,.005475
2009-03-23,.021512
2009-03-24,.0058789998
2009-03-25,-.020916
2009-03-26,.029502001
2009-03-27,.005562
2009-03-30,-.0059759999
2009-03-31,.0070469999
2009-04-01,.015838001
2009-04-02,.0075400001
2009-04-03,-.0028959999
2009-04-07,.0080530001
2009-04-08,-.037207
2009-04-09,.014801
2009-04-10,.029619999
2009-04-13,.026838001
2009-04-14,.008219
2009-04-15,.005285
2009-04-16,-.00086199999
2009-04-17,-.012921
2009-04-20,.022485999
2009-04-21,-.0090659996
2009-04-22,-.033390999
2009-04-23,.002474
2009-04-24,-.0061070002
2009-04-27,-.021291001
2009-04-28,-.00040700001
2009-04-29,.027884001
2009-04-30,.0061730002
2009-05-04,.034772001
2009-05-05,.0043210001
2009-05-06,.011852
2009-05-07,.00021699999
2009-05-08,.0094349999
2009-05-11,-.021692
2009-05-12,.020032
2009-05-13,.01608
2009-05-14,-.007125
2009-05-15,.0029470001
2009-05-18,.003947
2009-05-19,.0091519998
2009-05-20,-.0083710002
2009-05-21,-.017041
2009-05-22,-.0047280001
2009-05-25,.0055490001
2009-05-26,-.0076950002
2009-05-27,.014926
2009-06-01,.032811999
2009-06-02,.002471
2009-06-03,.019379999
2009-06-04,-.00095999998
2009-06-05,-.004524
2009-06-08,.0035969999
2009-06-09,.0075249998
2009-06-10,.01096
2009-06-11,-.0073219999
2009-06-12,-.019539
2009-06-15,.016946999
2009-06-16,-.003761
2009-06-17,.013595
2009-06-18,.015211
2009-06-19,.0082879998
2009-06-22,.0038030001
2009-06-23,-.001294
2009-06-24,.012156
2009-06-25,.00088800001
2009-06-26,.0030769999
2009-06-29,.015609
2009-06-30,-.0057919999
2009-07-01,.016973
2009-07-02,.016005
2009-07-03,.010307
2009-07-06,.011723
2009-07-07,-.0095109995
2009-07-08,.00029900001
2009-07-09,.014958
2009-07-10,-.001223
2009-07-13,-.007644
2009-07-14,.021362999
2009-07-15,.012875
2009-07-16,-.001448
2009-07-17,.0030660001
2009-07-20,.023443
2009-07-21,-.017526999
2009-07-22,.024080999
2009-07-23,.0097909998
2009-07-24,.010005
2009-07-27,.018797999
2009-07-28,.0029190001
2009-07-29,-.052374002
2009-07-30,.016311999
2009-07-31,.02802
2009-08-03,.015609
2009-08-04,.003359
2009-08-05,-.010471
2009-08-06,-.020287
2009-08-07,-.030115999
2009-08-10,-.0016280001
2009-08-11,.0055900002
2009-08-12,-.046714
2009-08-13,.0088539999
2009-08-14,-.031350002
2009-08-17,-.060718
2009-08-18,.013936
2009-08-19,-.045109
2009-08-20,.044172
2009-08-21,.018445
2009-08-24,.01289
2009-08-25,-.025448
2009-08-26,.020183001
