Stkcd,Accper,date
1,2009-03-31,24apr2009
1,2009-06-30,21aug2009
1,2009-09-30,29oct2009
1,2009-12-31,12mar2010
1,2010-03-31,29apr2010
1,2010-06-30,25aug2010
1,2010-09-30,28oct2010
1,2010-12-31,25feb2011
1,2011-03-31,27apr2011
1,2011-06-30,18aug2011
1,2011-09-30,26oct2011
1,2011-12-31,09mar2012
1,2012-03-31,26apr2012
1,2012-06-30,16aug2012
1,2012-09-30,26oct2012
1,2012-12-31,08mar2013
1,2013-03-31,24apr2013
1,2013-06-30,23aug2013
1,2013-09-30,23oct2013
1,2013-12-31,07mar2014
1,2014-03-31,24apr2014
1,2014-06-30,14aug2014
1,2014-09-30,24oct2014
1,2014-12-31,13mar2015
1,2015-03-31,24apr2015
1,2015-06-30,14aug2015
1,2015-09-30,23oct2015
1,2015-12-31,10mar2016
1,2016-03-31,21apr2016
1,2016-06-30,12aug2016
1,2016-09-30,21oct2016
1,2016-12-31,17mar2017
1,2017-03-31,21apr2017
1,2017-06-30,11aug2017
1,2017-09-30,20oct2017
1,2017-12-31,15mar2018
1,2018-03-31,20apr2018
1,2018-06-30,16aug2018
1,2018-09-30,24oct2018
1,2018-12-31,07mar2019
1,2019-03-31,24apr2019
1,2019-06-30,08aug2019
1,2019-09-30,22oct2019
1,2019-12-31,14feb2020
2,2009-03-31,27apr2009
2,2009-06-30,04aug2009
2,2009-09-30,26oct2009
2,2009-12-31,02mar2010
2,2010-03-31,27apr2010
2,2010-06-30,10aug2010
2,2010-09-30,25oct2010
2,2010-12-31,08mar2011
2,2011-03-31,20apr2011
2,2011-06-30,09aug2011
2,2011-09-30,25oct2011
2,2011-12-31,13mar2012
2,2012-03-31,24apr2012
2,2012-06-30,07aug2012
2,2012-09-30,24oct2012
2,2012-12-31,28feb2013
2,2013-03-31,23apr2013
2,2013-06-30,07aug2013
2,2013-09-30,30oct2013
2,2013-12-31,07mar2014
2,2014-03-31,29apr2014
2,2014-06-30,18aug2014
2,2014-09-30,27oct2014
2,2014-12-31,31mar2015
2,2015-03-31,27apr2015
2,2015-06-30,17aug2015
2,2015-09-30,28oct2015
2,2015-12-31,14mar2016
2,2016-03-31,28apr2016
2,2016-06-30,22aug2016
2,2016-09-30,28oct2016
2,2016-12-31,27mar2017
2,2017-03-31,28apr2017
2,2017-06-30,25aug2017
2,2017-09-30,27oct2017
2,2017-12-31,27mar2018
2,2018-03-31,26apr2018
2,2018-06-30,21aug2018
2,2018-09-30,26oct2018
2,2018-12-31,26mar2019
2,2019-03-31,30apr2019
2,2019-06-30,21aug2019
2,2019-09-30,25oct2019
2,2019-12-31,18mar2020
4,2009-03-31,30apr2009
4,2009-06-30,14aug2009
4,2009-09-30,23oct2009
4,2009-12-31,16apr2010
4,2010-03-31,26apr2010
4,2010-06-30,20aug2010
4,2010-09-30,29oct2010
4,2010-12-31,22apr2011
4,2011-03-31,22apr2011
4,2011-06-30,26aug2011
4,2011-09-30,28oct2011
4,2011-12-31,20apr2012
4,2012-03-31,20apr2012
4,2012-06-30,09aug2012
4,2012-09-30,26oct2012
4,2012-12-31,19apr2013
4,2013-03-31,19apr2013
4,2013-06-30,27aug2013
4,2013-09-30,25oct2013
4,2013-12-31,22apr2014
4,2014-03-31,22apr2014
4,2014-06-30,29aug2014
4,2014-09-30,24oct2014
4,2014-12-31,30apr2015
4,2015-03-31,30apr2015
4,2015-06-30,27aug2015
4,2015-09-30,30oct2015
4,2015-12-31,29apr2016
4,2016-03-31,29apr2016
4,2016-06-30,31aug2016
4,2016-09-30,28oct2016
4,2016-12-31,11apr2017
4,2017-03-31,28apr2017
4,2017-06-30,31aug2017
4,2017-09-30,27oct2017
4,2017-12-31,27apr2018
4,2018-03-31,27apr2018
4,2018-06-30,24aug2018
4,2018-09-30,31oct2018
4,2018-12-31,26apr2019
4,2019-03-31,26apr2019
4,2019-06-30,30aug2019
4,2019-09-30,31oct2019
4,2019-12-31,28apr2020
5,2009-03-31,28apr2009
5,2009-06-30,28aug2009
5,2009-09-30,30oct2009
5,2009-12-31,30apr2010
5,2010-03-31,30apr2010
5,2010-06-30,30aug2010
5,2010-09-30,29oct2010
5,2010-12-31,29apr2011
5,2011-03-31,29apr2011
5,2011-06-30,31aug2011
5,2011-09-30,28oct2011
5,2011-12-31,24apr2012
5,2012-03-31,24apr2012
5,2012-06-30,29aug2012
5,2012-09-30,26oct2012
5,2012-12-31,24apr2013
5,2013-03-31,24apr2013
5,2013-06-30,28aug2013
5,2013-09-30,30oct2013
5,2013-12-31,25apr2014
5,2014-03-31,25apr2014
5,2014-06-30,29aug2014
5,2014-09-30,29oct2014
5,2014-12-31,10apr2015
5,2015-03-31,28apr2015
5,2015-06-30,24jul2015
5,2015-09-30,30oct2015
5,2015-12-31,27apr2016
5,2016-03-31,27apr2016
5,2016-06-30,25aug2016
5,2016-09-30,31oct2016
5,2016-12-31,27apr2017
5,2017-03-31,27apr2017
5,2017-06-30,25aug2017
5,2017-09-30,31oct2017
5,2017-12-31,20apr2018
5,2018-03-31,20apr2018
5,2018-06-30,30aug2018
5,2018-09-30,30oct2018
5,2018-12-31,25apr2019
5,2019-03-31,25apr2019
5,2019-06-30,29aug2019
5,2019-09-30,30oct2019
5,2019-12-31,22may2020
6,2009-03-31,24apr2009
6,2009-06-30,12aug2009
6,2009-09-30,30oct2009
6,2009-12-31,17mar2010
6,2010-03-31,21apr2010
6,2010-06-30,06aug2010
6,2010-09-30,29oct2010
6,2010-12-31,31mar2011
6,2011-03-31,22apr2011
6,2011-06-30,03aug2011
6,2011-09-30,28oct2011
6,2011-12-31,18apr2012
6,2012-03-31,19apr2012
6,2012-06-30,10aug2012
6,2012-09-30,19oct2012
6,2012-12-31,29mar2013
6,2013-03-31,25apr2013
6,2013-06-30,15aug2013
6,2013-09-30,25oct2013
6,2013-12-31,14mar2014
6,2014-03-31,23apr2014
6,2014-06-30,15aug2014
6,2014-09-30,28oct2014
6,2014-12-31,01apr2015
6,2015-03-31,24apr2015
6,2015-06-30,28aug2015
6,2015-09-30,28oct2015
6,2015-12-31,30mar2016
6,2016-03-31,22apr2016
6,2016-06-30,19aug2016
6,2016-09-30,31oct2016
6,2016-12-31,30mar2017
6,2017-03-31,27apr2017
6,2017-06-30,18aug2017
6,2017-09-30,27oct2017
6,2017-12-31,30mar2018
6,2018-03-31,27apr2018
6,2018-06-30,17aug2018
6,2018-09-30,26oct2018
6,2018-12-31,29mar2019
6,2019-03-31,30apr2019
6,2019-06-30,16aug2019
6,2019-09-30,30oct2019
6,2019-12-31,09apr2020
7,2009-03-31,29apr2009
7,2009-06-30,21aug2009
7,2009-09-30,30oct2009
7,2009-12-31,21apr2010
7,2010-03-31,27apr2010
7,2010-06-30,24aug2010
7,2010-09-30,27oct2010
7,2010-12-31,22apr2011
7,2011-03-31,28apr2011
7,2011-06-30,22aug2011
7,2011-09-30,21oct2011
7,2011-12-31,23feb2012
7,2012-03-31,20apr2012
7,2012-06-30,14aug2012
7,2012-09-30,19oct2012
7,2012-12-31,25apr2013
7,2013-03-31,26apr2013
7,2013-06-30,29aug2013
7,2013-09-30,24oct2013
7,2013-12-31,25apr2014
7,2014-03-31,25apr2014
7,2014-06-30,11aug2014
7,2014-09-30,23oct2014
7,2014-12-31,30apr2015
7,2015-03-31,30apr2015
7,2015-06-30,31aug2015
7,2015-09-30,30oct2015
7,2015-12-31,22apr2016
7,2016-03-31,29apr2016
7,2016-06-30,30aug2016
7,2016-09-30,28oct2016
7,2016-12-31,19apr2017
7,2017-03-31,28apr2017
7,2017-06-30,31aug2017
7,2017-09-30,31oct2017
7,2017-12-31,24apr2018
7,2018-03-31,27apr2018
7,2018-06-30,31aug2018
7,2018-09-30,31oct2018
7,2018-12-31,30apr2019
7,2019-03-31,30apr2019
7,2019-06-30,30aug2019
7,2019-09-30,31oct2019
7,2019-12-31,29apr2020
8,2009-03-31,17apr2009
8,2009-06-30,07aug2009
8,2009-09-30,22oct2009
8,2009-12-31,26mar2010
8,2010-03-31,23apr2010
8,2010-06-30,19aug2010
8,2010-09-30,25oct2010
8,2010-12-31,25feb2011
8,2011-03-31,22apr2011
8,2011-06-30,29jul2011
8,2011-09-30,26oct2011
8,2011-12-31,02mar2012
8,2012-03-31,27apr2012
8,2012-06-30,07aug2012
8,2012-09-30,26oct2012
8,2012-12-31,29mar2013
8,2013-03-31,26apr2013
8,2013-06-30,15aug2013
8,2013-09-30,25oct2013
8,2013-12-31,28mar2014
8,2014-03-31,24apr2014
8,2014-06-30,01aug2014
8,2014-09-30,24oct2014
8,2014-12-31,10feb2015
8,2015-03-31,29apr2015
8,2015-06-30,28aug2015
8,2015-09-30,30oct2015
8,2015-12-31,27apr2016
8,2016-03-31,29apr2016
8,2016-06-30,25aug2016
8,2016-09-30,26oct2016
8,2016-12-31,31mar2017
8,2017-03-31,27apr2017
8,2017-06-30,30aug2017
8,2017-09-30,31oct2017
8,2017-12-31,26apr2018
8,2018-03-31,27apr2018
8,2018-06-30,24aug2018
8,2018-09-30,19oct2018
8,2018-12-31,25apr2019
8,2019-03-31,26apr2019
8,2019-06-30,29aug2019
8,2019-09-30,22oct2019
8,2019-12-31,24apr2020
9,2009-03-31,24apr2009
9,2009-06-30,28aug2009
9,2009-09-30,30oct2009
9,2009-12-31,26mar2010
9,2010-03-31,30apr2010
9,2010-06-30,17aug2010
9,2010-09-30,29oct2010
9,2010-12-31,23mar2011
9,2011-03-31,27apr2011
9,2011-06-30,26aug2011
9,2011-09-30,27oct2011
9,2011-12-31,26apr2012
9,2012-03-31,26apr2012
9,2012-06-30,29aug2012
9,2012-09-30,26oct2012
9,2012-12-31,26apr2013
9,2013-03-31,26apr2013
9,2013-06-30,28aug2013
9,2013-09-30,29oct2013
9,2013-12-31,25apr2014
9,2014-03-31,25apr2014
9,2014-06-30,22aug2014
9,2014-09-30,30oct2014
9,2014-12-31,29apr2015
9,2015-03-31,29apr2015
9,2015-06-30,28aug2015
9,2015-09-30,30oct2015
9,2015-12-31,29apr2016
9,2016-03-31,29apr2016
9,2016-06-30,30aug2016
9,2016-09-30,28oct2016
9,2016-12-31,27apr2017
9,2017-03-31,27apr2017
9,2017-06-30,30aug2017
9,2017-09-30,27oct2017
9,2017-12-31,27apr2018
9,2018-03-31,27apr2018
9,2018-06-30,30aug2018
9,2018-09-30,30oct2018
9,2018-12-31,30apr2019
9,2019-03-31,30apr2019
9,2019-06-30,30aug2019
9,2019-09-30,25oct2019
9,2019-12-31,29apr2020
10,2009-03-31,17apr2009
10,2009-06-30,17aug2009
10,2009-09-30,22oct2009
10,2009-12-31,22apr2010
10,2010-03-31,23apr2010
10,2010-06-30,25aug2010
10,2010-09-30,28oct2010
10,2010-12-31,29apr2011
10,2011-03-31,29apr2011
10,2011-06-30,24aug2011
10,2011-09-30,21oct2011
10,2011-12-31,27apr2012
10,2012-03-31,27apr2012
10,2012-06-30,28aug2012
10,2012-09-30,26oct2012
10,2012-12-31,29mar2013
10,2013-03-31,25apr2013
10,2013-06-30,28aug2013
10,2013-09-30,24oct2013
10,2013-12-31,25apr2014
10,2014-03-31,29apr2014
10,2014-06-30,15aug2014
10,2014-09-30,24oct2014
10,2014-12-31,27mar2015
10,2015-03-31,29apr2015
10,2015-06-30,18aug2015
10,2015-09-30,27oct2015
10,2015-12-31,27apr2016
10,2016-03-31,29apr2016
10,2016-06-30,24aug2016
10,2016-09-30,25oct2016
