mktrf,SMB,VMG,Year,Month
.1479,-.016100001,-.0083999997,2000,1
.1197,.0134,-.072800003,2000,2
.043200001,.077200003,-.0049999999,2000,3
.016799999,-.0049000001,.0243,2000,4
.022,.0195,.0206,2000,5
.023399999,.0111,.055500001,2000,6
.043699998,.0114,.019300001,2000,7
-.0175,.021,-.0147,2000,8
-.055100001,.018300001,-.0060000001,2000,9
.015699999,.0283,.0020000001,2000,10
.0557,.0138,.019300001,2000,11
-.0088999998,.0189,.016899999,2000,12
-.012,.0035000001,.022399999,2001,1
-.057799999,-.0044999998,.0359,2001,2
.067000002,.0186,-.0082,2001,3
-.0137,.0096000005,-.0188,2001,4
.0255,.0264,-.017999999,2001,5
.0015,.0149,.020099999,2001,6
-.1345,-.0019,-.0026,2001,7
-.040600002,.0074999998,-.0098000001,2001,8
-.0451,-.0117,.032499999,2001,9
-.047699999,-.0175,-.0046000001,2001,10
.034600001,.023499999,.0141,2001,11
-.060800001,-.0088999998,.053399999,2001,12
-.099299997,-.0337,.049199998,2002,1
.021400001,.022,.0038999999,2002,2
.055300001,.020500001,-.0239,2002,3
.038400002,.0123,-.0178,2002,4
-.086400002,-.0129,-.0166,2002,5
.14229999,-.033100002,.0109,2002,6
-.046,.0144,.0144,2002,7
.0073000002,-.0038999999,.0065000001,2002,8
-.054400001,-.0088999998,.0065000001,2002,9
-.050000001,-.0098000001,.0038999999,2002,10
-.0546,-.032099999,.0242,2002,11
-.0535,-.0019,.0063999998,2002,12
.093599997,.0138,.0174,2003,1
.0063,.0098999999,.001,2003,2
-.0040000002,-.0239,.041499998,2003,3
.0066999998,-.055300001,.070100002,2003,4
.0414,-.0049000001,.0046000001,2003,5
-.061999999,-.0043000001,.0295,2003,6
-.0060999999,-.029300001,.026000001,2003,7
-.0381,.0081000002,-.0086000003,2003,8
-.044100001,.0031000001,.0049000001,2003,9
-.0167,-.0381,.094099998,2003,10
.027799999,.0077,.0255,2003,11
.0616,-.054699998,.1036,2003,12
.059599999,.0396,.0027999999,2004,1
.0605,.032600001,-.0337,2004,2
.0361,.0231,.0296,2004,3
-.093599997,.0086000003,.039000001,2004,4
-.0266,.0111,-.0106,2004,5
-.102,-.0222,.050700001,2004,6
-.0034,-.0081000002,.031500001,2004,7
-.035599999,.0013,.048599999,2004,8
.045699999,.0105,.0383,2004,9
-.054099999,-.0020999999,.041200001,2004,10
.0118,.036600001,-.028999999,2004,11
-.0601,-.0143,.055799998,2004,12
-.0616,-.0116,.023800001,2005,1
.093400002,.018200001,.0154,2005,2
-.0955,-.031800002,.0471,2005,3
-.022500001,-.0458,.072099999,2005,4
-.084200002,.051100001,-.046799999,2005,5
.02,-.0149,.0493,2005,6
.001,-.066200003,.081,2005,7
.0836,.073899999,-.0438,2005,8
-.0049000001,.032900002,.029200001,2005,9
-.057500001,-.0078999996,.018100001,2005,10
.0023000001,.0105,-.0062000002,2005,11
.060699999,-.037300002,.043699998,2005,12
.086199999,-.0071999999,-.0041999999,2006,1
.0361,-.016899999,-.0262,2006,2
.0065000001,-.0122,.017200001,2006,3
.1128,-.0104,.0469,2006,4
.1603,.091600001,-.081299998,2006,5
.025900001,.053800002,.037500001,2006,6
-.068800002,.0405,-.0124,2006,7
.0394,-.0088,-.0016,2006,8
.046399999,-.0109,-.0098000001,2006,9
.0265,-.025,.082800001,2006,10
.1463,-.1181,.039900001,2006,11
.1393,-.087300003,.061700001,2006,12
.13680001,.1191,.0146,2007,1
.065099999,.1226,-.059,2007,2
.1109,.064300001,-.0115,2007,3
.2458,.082000002,-.093000002,2007,4
.094099998,-.0137,.00079999998,2007,5
-.092200004,-.056400001,.13349999,2007,6
.1761,.053300001,-.031500001,2007,7
.1516,-.036800001,.019200001,2007,8
.061700001,-.0135,.035100002,2007,9
.048300002,-.1265,.1328,2007,10
-.15260001,.1079,.034200002,2007,11
.1186,.091799997,-.0092000002,2007,12
-.15700001,.090400003,-.015900001,2008,1
.0229,.086800002,.0080000004,2008,2
-.1992,.0031999999,-.00039999999,2008,3
.046,-.089100003,.076300003,2008,4
-.069300003,.0197,-.056400001,2008,5
-.2076,-.046500001,.040899999,2008,6
.0165,.074299999,-.0166,2008,7
-.1516,-.0757,.0416,2008,8
-.0469,-.058699999,-.0416,2008,9
-.25470001,-.00050000002,.044199999,2008,10
.093699999,.1122,-.039099999,2008,11
-.021500001,.094599999,.0337,2008,12
.096500002,.077699997,.0078999996,2009,1
.0491,.025,-.043299999,2009,2
.1463,.075300001,-.0092000002,2009,3
.041700002,.041000001,.039299998,2009,4
.060899999,.0071999999,-.0262,2009,5
.1265,-.075599998,.025900001,2009,6
.15549999,-.055199999,-.080799997,2009,7
-.2182,.093999997,.052099999,2009,8
.045699999,.0011,.056600001,2009,9
.082900003,.044199999,.0041999999,2009,10
.073100001,.0889,-.0060000001,2009,11
.022500001,.0308,.039299998,2009,12
-.089500003,.0603,-.0124,2010,1
.023,.0337,-.025,2010,2
.0149,.026900001,.0116,2010,3
-.079099998,.0092000002,.00089999998,2010,4
-.086999997,-.0018,0,2010,5
-.074000001,-.0091000004,.029899999,2010,6
.1127,.054099999,.0117,2010,7
.0178,.055100001,-.039000001,2010,8
.0063999998,-.015699999,-.019300001,2010,9
.1239,-.035399999,.015699999,2010,10
-.047200002,.0537,.0040000002,2010,11
-.0114,-.0112,.039900001,2010,12
-.0275,-.0083999997,.042599998,2011,1
.0484,.047699999,-.033599999,2011,2
-.0059000002,.0077999998,.0163,2011,3
-.0151,-.0166,.021,2011,4
-.064400002,-.0044999998,.0106,2011,5
.022700001,.0125,.0035999999,2011,6
-.0162,.0232,-.0068000001,2011,7
-.048799999,.017999999,.0074999998,2011,8
-.092200004,-.0196,.036800001,2011,9
.0403,.0014,.0104,2011,10
-.054699998,.0184,.014,2011,11
-.073299997,-.0744,.076800004,2011,12
.024800001,-.035599999,.020099999,2012,1
.069700003,.054499999,-.0309,2012,2
-.070299998,-.0066,.0123,2012,3
.0546,.0104,-.016799999,2012,4
.00060000003,.0077,-.0068999999,2012,5
-.052099999,-.0031000001,.047499999,2012,6
-.057599999,-.029899999,.049199998,2012,7
-.0285,.061900001,-.0083999997,2012,8
.0206,-.0209,.0015,2012,9
-.0122,.0156,.0059000002,2012,10
-.063500002,-.048799999,.036600001,2012,11
.15019999,.0049999999,-.0089999996,2012,12
.0493,.022700001,.0073000002,2013,1
0,.033100002,.00060000003,2013,2
-.054900002,.022399999,.0038000001,2013,3
-.025,-.0060999999,.0133,2013,4
.0779,.055300001,-.0383,2013,5
-.1346,-.016799999,.035500001,2013,6
.0265,.0275,-.0296,2013,7
.049899999,.0427,.0097000003,2013,8
.0425,-.0071,-.028899999,2013,9
-.0265,.0126,.054699998,2013,10
.0418,.0374,-.027899999,2013,11
-.0458,.017999999,.034000002,2013,12
-.023,.032200001,-.048300002,2014,1
.0052999998,.043299999,-.0115,2014,2
-.026900001,.0175,.049199998,2014,3
-.0109,-.0139,.019099999,2014,4
.0106,.0126,-.032699998,2014,5
.021600001,.023800001,-.0219,2014,6
.077100001,.0088,.0188,2014,7
.0119,.0261,-.0298,2014,8
.069600001,.053800002,-.033199999,2014,9
.0154,.0068999999,.0264,2014,10
.088299997,-.0176,.047600001,2014,11
.1525,-.1735,.1517,2014,12
.0044999998,.075199999,-.024700001,2015,1
.043099999,.016100001,-.0306,2015,2
.14920001,.0801,-.044599999,2015,3
.1601,-.0065000001,-.0091000004,2015,4
.069899999,.17730001,-.1028,2015,5
-.081200004,-.0221,.0876,2015,6
-.1461,-.041700002,.067100003,2015,7
-.1381,.0057999999,.0198,2015,8
-.043099999,.036800001,.022500001,2015,9
.14390001,.076499999,-.059500001,2015,10
.032400001,.085199997,-.00039999999,2015,11
.0317,.037999999,.042100001,2015,12
-.2509,-.052299999,.059900001,2016,1
-.022,-.0020000001,.0082999999,2016,2
.1452,.067699999,-.00030000001,2016,3
-.027100001,.016799999,.0102,2016,4
-.0011,-.0071,.015799999,2016,5
.0221,.045200001,-.0082999999,2016,6
.0115,-.0143,.059599999,2016,7
.037099998,.0055999998,-.0087000001,2016,8
-.0254,.0139,.0208,2016,9
.024800001,.0139,-.0076000001,2016,10
.036400001,-.0136,.0128,2016,11
-.056499999,0,.0033,2016,12
.0070000002,-.031500001,.0285,2017,1
.028200001,.0127,.0034,2017,2
-.0083999997,-.0055,.033599999,2017,3
-.022700001,-.0381,.0469,2017,4
-.019099999,-.051600002,.0568,2017,5
.0414,-.00019999999,.0266,2017,6
.024499999,-.0125,.044799998,2017,7
.024800001,-.0037,-.0228,2017,8
.0062000002,.0093,-.0077999998,2017,9
.0135,-.039000001,.038199998,2017,10
-.029300001,-.031300001,.037799999,2017,11
-.0012000001,-.017899999,.0229,2017,12
.036600001,-.058400001,.066699997,2018,1
-.051899999,.0037,.0019,2018,2
-.0141,.042599998,-.066600002,2018,3
-.0328,-.0125,-.00039999999,2018,4
.0027000001,-.0153,.0449,2018,5
-.078900002,-.0286,.037099998,2018,6
.0089999996,-.0029,.036600001,2018,7
-.058600001,-.026000001,.0071,2018,8
.0229,-.030099999,.0309,2018,9
-.089400001,-.0126,.0255,2018,10
.0086000003,.046399999,-.031599998,2018,11
-.0416,-.0031999999,.019400001,2018,12
.0288,-.046,.063500002,2019,1
.1574,.0504,-.0955,2019,2
.064400002,.042300001,-.028100001,2019,3
-.0133,-.0229,.0306,2019,4
-.063600004,.014,.0035000001,2019,5
.031500001,-.032200001,.039799999,2019,6
-.0017,-.031099999,.0071,2019,7
-.0077,-.0155,-.0363,2019,8
.0060999999,.0068999999,.0113,2019,9
.0111,-.0218,.0135,2019,10
-.017999999,-.0081000002,.018300001,2019,11
.068599999,.0111,.0020999999,2019,12
-.0070000002,.0038000001,-.0306,2020,1
-.0088999998,.0070000002,-.0372,2020,2
-.062700003,.029899999,.050799999,2020,3
.050700001,-.040600002,.0038000001,2020,4
.003,.0164,.0012000001,2020,5
.0801,-.018300001,.0103,2020,6
.126,.0041999999,.0076000001,2020,7
.0199,.022,.017000001,2020,8
-.0579,-.0219,.011,2020,9
.0086000003,-.0184,.0124,2020,10
.036499999,-.013,.046300001,2020,11
.029899999,-.092299998,-.047200002,2020,12
.0034,-.095700003,.033599999,2021,1
-.0044,.052900001,.064300001,2021,2
-.029300001,.058800001,.048700001,2021,3
.0177,-.0286,-.041700002,2021,4
.050500002,.0074999998,-.033500001,2021,5
.0078999996,.0164,-.046,2021,6
-.041000001,.045400001,-.035399999,2021,7
.0285,.0484,.068000004,2021,8
-.0035999999,-.0135,.049400002,2021,9
-.0027000001,-.0319,-.043299999,2021,10
.0196,.1152,-.037999999,2021,11
.0101,.036699999,.050700001,2021,12
