mnthdt,rf_mon,mktrf,SMB,VMG
20000131,0.0019,0.1479,-0.0161,-0.0084
20000229,0.0018,0.1197,0.0134,-0.0728
20000331,0.0019,0.0432,0.0772,-0.005
20000430,0.0018,0.0168,-0.0049,0.0243
20000531,0.0019,0.022,0.0195,0.0206
20000630,0.0018,0.0234,0.0111,0.0555
20000731,0.0019,0.0437,0.0114,0.0193
20000831,0.0019,-0.0175,0.021,-0.0147
20000930,0.0018,-0.0551,0.0183,-0.006
20001031,0.0019,0.0157,0.0283,0.002
20001130,0.0018,0.0557,0.0138,0.0193
20001231,0.0019,-0.0089,0.0189,0.0169
20010131,0.0019,-0.012,0.0035,0.0224
20010228,0.0017,-0.0578,-0.0045,0.0359
20010331,0.0019,0.067,0.0186,-0.0082
20010430,0.0018,-0.0137,0.0096,-0.0188
20010531,0.0019,0.0255,0.0264,-0.018
20010630,0.0018,0.0015,0.0149,0.0201
20010731,0.0019,-0.1345,-0.0019,-0.0026
20010831,0.0019,-0.0406,0.0075,-0.0098
20010930,0.0018,-0.0451,-0.0117,0.0325
20011031,0.0019,-0.0477,-0.0175,-0.0046
20011130,0.0018,0.0346,0.0235,0.0141
20011231,0.0019,-0.0608,-0.0089,0.0534
20020131,0.0019,-0.0993,-0.0337,0.0492
20020228,0.0017,0.0214,0.022,0.0039
20020331,0.0017,0.0553,0.0205,-0.0239
20020430,0.0016,0.0384,0.0123,-0.0178
20020531,0.0017,-0.0864,-0.0129,-0.0166
20020630,0.0016,0.1423,-0.0331,0.0109
20020731,0.0017,-0.046,0.0144,0.0144
20020831,0.0017,0.0073,-0.0039,0.0065
20020930,0.0016,-0.0544,-0.0089,0.0065
20021031,0.0017,-0.05,-0.0098,0.0039
20021130,0.0016,-0.0546,-0.0321,0.0242
20021231,0.0017,-0.0535,-0.0019,0.0064
20030131,0.0017,0.0936,0.0138,0.0174
20030228,0.0015,0.0063,0.0099,0.001
20030331,0.0017,-0.004,-0.0239,0.0415
20030430,0.0016,0.0067,-0.0553,0.0701
20030531,0.0017,0.0414,-0.0049,0.0046
20030630,0.0016,-0.062,-0.0043,0.0295
20030731,0.0017,-0.0061,-0.0293,0.026
20030831,0.0017,-0.0381,0.0081,-0.0086
20030930,0.0016,-0.0441,0.0031,0.0049
20031031,0.0017,-0.0167,-0.0381,0.0941
20031130,0.0016,0.0278,0.0077,0.0255
20031231,0.0017,0.0616,-0.0547,0.1036
20040131,0.0017,0.0596,0.0396,0.0028
20040229,0.0016,0.0605,0.0326,-0.0337
20040331,0.0017,0.0361,0.0231,0.0296
20040430,0.0016,-0.0936,0.0086,0.039
20040531,0.0017,-0.0266,0.0111,-0.0106
20040630,0.0016,-0.102,-0.0222,0.0507
20040731,0.0017,-0.0034,-0.0081,0.0315
20040831,0.0017,-0.0356,0.0013,0.0486
20040930,0.0016,0.0457,0.0105,0.0383
20041031,0.0017,-0.0541,-0.0021,0.0412
20041130,0.0018,0.0118,0.0366,-0.029
20041231,0.0019,-0.0601,-0.0143,0.0558
20050131,0.0019,-0.0616,-0.0116,0.0238
20050228,0.0017,0.0934,0.0182,0.0154
20050331,0.0019,-0.0955,-0.0318,0.0471
20050430,0.0018,-0.0225,-0.0458,0.0721
20050531,0.0019,-0.0842,0.0511,-0.0468
20050630,0.0018,0.02,-0.0149,0.0493
20050731,0.0019,0.001,-0.0662,0.081
20050831,0.0019,0.0836,0.0739,-0.0438
20050930,0.0018,-0.0049,0.0329,0.0292
20051031,0.0019,-0.0575,-0.0079,0.0181
20051130,0.0018,0.0023,0.0105,-0.0062
20051231,0.0019,0.0607,-0.0373,0.0437
20060131,0.0019,0.0862,-0.0072,-0.0042
20060228,0.0017,0.0361,-0.0169,-0.0262
20060331,0.0019,0.0065,-0.0122,0.0172
20060430,0.0018,0.1128,-0.0104,0.0469
20060531,0.0019,0.1603,0.0916,-0.0813
20060630,0.0018,0.0259,0.0538,0.0375
20060731,0.0019,-0.0688,0.0405,-0.0124
20060831,0.002,0.0394,-0.0088,-0.0016
20060930,0.002,0.0464,-0.0109,-0.0098
20061031,0.0021,0.0265,-0.025,0.0828
20061130,0.002,0.1463,-0.1181,0.0399
20061231,0.0021,0.1393,-0.0873,0.0617
20070131,0.0021,0.1368,0.1191,0.0146
20070228,0.0019,0.0651,0.1226,-0.059
20070331,0.0022,0.1109,0.0643,-0.0115
20070430,0.0023,0.2458,0.082,-0.093
20070531,0.0024,0.0941,-0.0137,0.0008
20070630,0.0025,-0.0922,-0.0564,0.1335
20070731,0.0027,0.1761,0.0533,-0.0315
20070831,0.0029,0.1516,-0.0368,0.0192
20070930,0.003,0.0617,-0.0135,0.0351
20071031,0.0032,0.0483,-0.1265,0.1328
20071130,0.0031,-0.1526,0.1079,0.0342
20071231,0.0033,0.1186,0.0918,-0.0092
20080131,0.0034,-0.157,0.0904,-0.0159
20080229,0.0032,0.0229,0.0868,0.008
20080331,0.0034,-0.1992,0.0032,-0.0004
20080430,0.0033,0.046,-0.0891,0.0763
20080531,0.0034,-0.0693,0.0197,-0.0564
20080630,0.0033,-0.2076,-0.0465,0.0409
20080731,0.0034,0.0165,0.0743,-0.0166
20080831,0.0034,-0.1516,-0.0757,0.0416
20080930,0.0033,-0.0469,-0.0587,-0.0416
20081031,0.0033,-0.2547,-0.0005,0.0442
20081130,0.0028,0.0937,0.1122,-0.0391
20081231,0.002,-0.0215,0.0946,0.0337
20090131,0.0019,0.0965,0.0777,0.0079
20090228,0.0017,0.0491,0.025,-0.0433
20090331,0.0019,0.1463,0.0753,-0.0092
20090430,0.0018,0.0417,0.041,0.0393
20090531,0.0019,0.0609,0.0072,-0.0262
20090630,0.0018,0.1265,-0.0756,0.0259
20090731,0.0019,0.1555,-0.0552,-0.0808
20090831,0.0019,-0.2182,0.094,0.0521
20090930,0.0018,0.0457,0.0011,0.0566
20091031,0.0019,0.0829,0.0442,0.0042
20091130,0.0018,0.0731,0.0889,-0.006
20091231,0.0019,0.0225,0.0308,0.0393
20100131,0.0019,-0.0895,0.0603,-0.0124
20100228,0.0017,0.023,0.0337,-0.025
20100331,0.0019,0.0149,0.0269,0.0116
20100430,0.0018,-0.0791,0.0092,0.0009
20100531,0.0019,-0.087,-0.0018,0
20100630,0.0018,-0.074,-0.0091,0.0299
20100731,0.0019,0.1127,0.0541,0.0117
20100831,0.0019,0.0178,0.0551,-0.039
20100930,0.0018,0.0064,-0.0157,-0.0193
20101031,0.002,0.1239,-0.0354,0.0157
20101130,0.002,-0.0472,0.0537,0.004
20101231,0.0021,-0.0114,-0.0112,0.0399
20110131,0.0023,-0.0275,-0.0084,0.0426
20110228,0.0022,0.0484,0.0477,-0.0336
20110331,0.0025,-0.0059,0.0078,0.0163
20110430,0.0026,-0.0151,-0.0166,0.021
20110531,0.0027,-0.0644,-0.0045,0.0106
20110630,0.0026,0.0227,0.0125,0.0036
20110731,0.0029,-0.0162,0.0232,-0.0068
20110831,0.0029,-0.0488,0.018,0.0075
20110930,0.0028,-0.0922,-0.0196,0.0368
20111031,0.0029,0.0403,0.0014,0.0104
20111130,0.0028,-0.0547,0.0184,0.014
20111231,0.0029,-0.0733,-0.0744,0.0768
20120131,0.0029,0.0248,-0.0356,0.0201
20120229,0.0027,0.0697,0.0545,-0.0309
20120331,0.0029,-0.0703,-0.0066,0.0123
20120430,0.0028,0.0546,0.0104,-0.0168
20120531,0.0029,0.0006,0.0077,-0.0069
