"Symbol","EndDate","InsInvestorProp"
"000001","2009-03-31","49.1334"
"000001","2009-06-30","67.6183"
"000001","2009-09-30","49.7721"
"000001","2009-12-31","65.5919"
"000001","2010-03-31","47.2087"
"000001","2010-06-30","61.4298"
"000001","2010-09-30","39.6137"
"000001","2010-12-31","53.9470"
"000001","2011-03-31","36.1932"
"000001","2011-06-30","57.2190"
"000001","2011-09-30","28.0653"
"000001","2011-12-31","71.0005"
"000001","2012-03-31","27.5886"
"000001","2012-06-30","67.8076"
"000001","2012-09-30","63.7780"
"000001","2012-12-31","67.5822"
"000001","2013-03-31","64.5579"
"000001","2013-06-30","65.3564"
"000001","2013-09-30","61.7020"
"000001","2013-12-31","70.0775"
"000001","2014-03-31","65.5252"
"000001","2014-06-30","69.0802"
"000001","2014-09-30","66.1061"
"000001","2014-12-31","68.5313"
"000001","2015-03-31","64.9340"
"000001","2015-06-30","66.0754"
"000001","2015-09-30","67.1434"
"000001","2015-12-31","68.7285"
"000001","2016-03-31","67.3065"
"000001","2016-06-30","67.3586"
"000001","2016-09-30","66.6021"
"000001","2016-12-31","68.1916"
"000001","2017-03-31","66.8482"
"000001","2017-06-30","68.9139"
"000001","2017-09-30","68.3552"
"000001","2017-12-31","71.3610"
"000001","2018-03-31","67.3134"
"000001","2018-06-30","67.7702"
"000001","2018-09-30","68.0183"
"000001","2018-12-31","69.1908"
"000001","2019-03-31","69.8628"
"000001","2019-06-30","72.4128"
"000001","2019-09-30","73.5544"
"000001","2019-12-31","75.7209"
"000002","2009-03-31","37.4147"
"000002","2009-06-30","52.6775"
"000002","2009-09-30","32.7184"
"000002","2009-12-31","31.1470"
"000002","2010-03-31","27.0976"
"000002","2010-06-30","28.3956"
"000002","2010-09-30","34.6072"
"000002","2010-12-31","39.4860"
"000002","2011-03-31","32.2955"
"000002","2011-06-30","35.0101"
"000002","2011-09-30","32.8658"
"000002","2011-12-31","38.9640"
"000002","2012-03-31","36.7871"
"000002","2012-06-30","47.7006"
"000002","2012-09-30","43.5949"
"000002","2012-12-31","47.4927"
"000002","2013-03-31","43.9745"
"000002","2013-06-30","47.7095"
"000002","2013-09-30","36.6588"
"000002","2013-12-31","36.9092"
"000002","2014-03-31","33.7327"
"000002","2014-06-30","48.2815"
"000002","2014-09-30","47.0495"
"000002","2014-12-31","49.8183"
"000002","2015-03-31","41.7944"
"000002","2015-06-30","42.1636"
"000002","2015-09-30","53.7467"
"000002","2015-12-31","58.2096"
"000002","2016-03-31","57.7077"
"000002","2016-06-30","58.2414"
"000002","2016-09-30","56.6216"
"000002","2016-12-31","58.6376"
"000002","2017-03-31","58.1989"
"000002","2017-06-30","66.9563"
"000002","2017-09-30","70.5786"
"000002","2017-12-31","71.9020"
"000002","2018-03-31","70.4932"
"000002","2018-06-30","71.9809"
"000002","2018-09-30","75.5329"
"000002","2018-12-31","78.3755"
"000002","2019-03-31","76.2796"
"000002","2019-06-30","77.9885"
"000002","2019-09-30","74.4496"
"000002","2019-12-31","74.0112"
"000004","2009-03-31","16.9100"
"000004","2009-06-30","34.3800"
"000004","2009-09-30","17.0760"
"000004","2009-12-31","29.3800"
"000004","2010-03-31","30.4940"
"000004","2010-06-30","34.8800"
"000004","2010-09-30","34.7540"
"000004","2010-12-31","35.2700"
"000004","2011-03-31","36.3220"
"000004","2011-06-30","31.0600"
"000004","2011-09-30","37.5290"
"000004","2011-12-31","40.0819"
"000004","2012-03-31","31.6360"
"000004","2012-06-30","32.1027"
"000004","2012-09-30","30.6510"
"000004","2012-12-31","31.8300"
"000004","2013-03-31","30.3600"
"000004","2013-06-30","32.3811"
"000004","2013-09-30","30.9100"
"000004","2013-12-31","35.6000"
"000004","2014-03-31","32.1700"
"000004","2014-06-30","30.6983"
"000004","2014-09-30","32.9698"
"000004","2014-12-31","39.9479"
"000004","2015-03-31","39.2600"
"000004","2015-06-30","43.6892"
"000004","2015-09-30","47.8300"
"000004","2015-12-31","53.7650"
"000004","2016-03-31","50.2219"
"000004","2016-06-30","55.0295"
"000004","2016-09-30","49.1294"
"000004","2016-12-31","54.9978"
"000004","2017-03-31","49.3548"
"000004","2017-06-30","48.7942"
"000004","2017-09-30","52.9170"
"000004","2017-12-31","51.1561"
"000004","2018-03-31","48.0000"
"000004","2018-06-30","48.1605"
"000004","2018-09-30","48.0600"
"000004","2018-12-31","45.6327"
"000004","2019-03-31","45.5500"
"000004","2019-06-30","42.0829"
"000004","2019-09-30","43.4400"
"000004","2019-12-31","44.1000"
"000005","2009-03-31","5.5180"
"000005","2009-06-30","25.1620"
"000005","2009-09-30","24.8880"
"000005","2009-12-31","26.2876"
"000005","2010-03-31","25.2560"
"000005","2010-06-30","25.9784"
"000005","2010-09-30","25.6050"
"000005","2010-12-31","47.3030"
"000005","2011-03-31","25.4180"
"000005","2011-06-30","26.0003"
"000005","2011-09-30","25.6443"
"000005","2011-12-31","26.0003"
"000005","2012-03-31","25.3720"
"000005","2012-06-30","25.4800"
"000005","2012-09-30","25.3600"
"000005","2012-12-31","25.3600"
"000005","2013-03-31","25.3600"
"000005","2013-06-30","25.3680"
"000005","2013-09-30","25.3600"
"000005","2013-12-31","25.4000"
"000005","2014-03-31","25.6700"
"000005","2014-06-30","26.1436"
"000005","2014-09-30","24.5400"
"000005","2014-12-31","24.8900"
"000005","2015-03-31","24.8900"
"000005","2015-06-30","24.4186"
"000005","2015-09-30","23.9100"
"000005","2015-12-31","26.4807"
"000005","2016-03-31","26.6560"
"000005","2016-06-30","26.6379"
"000005","2016-09-30","25.3320"
"000005","2016-12-31","28.2324"
"000005","2017-03-31","26.8630"
"000005","2017-06-30","30.4631"
"000005","2017-09-30","25.7880"
"000005","2017-12-31","27.1914"
"000005","2018-03-31","27.5780"
"000005","2018-06-30","27.3742"
"000005","2018-09-30","26.4210"
"000005","2018-12-31","24.1705"
"000005","2019-03-31","24.6400"
"000005","2019-06-30","24.4570"
"000005","2019-09-30","24.0130"
"000005","2019-12-31","24.4563"
"000006","2009-03-31","30.9642"
"000006","2009-06-30","62.4915"
"000006","2009-09-30","36.5710"
"000006","2009-12-31","46.5149"
"000006","2010-03-31","30.3160"
"000006","2010-06-30","27.9410"
"000006","2010-09-30","40.7340"
"000006","2010-12-31","40.5053"
"000006","2011-03-31","40.4860"
"000006","2011-06-30","44.1182"
"000006","2011-09-30","40.7890"
"000006","2011-12-31","43.5546"
"000006","2012-03-31","44.8450"
"000006","2012-06-30","52.4470"
"000006","2012-09-30","47.1700"
"000006","2012-12-31","51.8924"
"000006","2013-03-31","47.1900"
"000006","2013-06-30","50.7019"
"000006","2013-09-30","47.5770"
"000006","2013-12-31","58.0167"
"000006","2014-03-31","47.2881"
"000006","2014-06-30","53.6918"
"000006","2014-09-30","48.0814"
"000006","2014-12-31","36.8564"
"000006","2015-03-31","36.0386"
"000006","2015-06-30","38.5180"
"000006","2015-09-30","44.9670"
"000006","2015-12-31","42.1743"
"000006","2016-03-31","39.6200"
"000006","2016-06-30","42.4350"
"000006","2016-09-30","40.3388"
"000006","2016-12-31","40.6915"
"000006","2017-03-31","39.3300"
"000006","2017-06-30","41.7981"
"000006","2017-09-30","41.5287"
"000006","2017-12-31","43.7027"
"000006","2018-03-31","40.0482"
"000006","2018-06-30","41.2528"
"000006","2018-09-30","39.2100"
"000006","2018-12-31","42.5415"
"000006","2019-03-31","42.1200"
"000006","2019-06-30","43.7614"
"000006","2019-09-30","41.4000"
"000006","2019-12-31","44.2549"
"000007","2009-03-31","5.9680"
"000007","2009-06-30","26.5200"
"000007","2009-09-30","26.0220"
"000007","2009-12-31","26.0200"
"000007","2010-03-31","26.0220"
"000007","2010-06-30","26.0200"
"000007","2010-09-30","26.0220"
"000007","2010-12-31","30.9450"
"000007","2011-03-31","26.6310"
"000007","2011-06-30","21.2700"
"000007","2011-09-30","21.2670"
"000007","2011-12-31","20.8636"
"000007","2012-03-31","20.8390"
"000007","2012-06-30","25.7526"
"000007","2012-09-30","23.1830"
"000007","2012-12-31","20.9491"
"000007","2013-03-31","22.8860"
"000007","2013-06-30","22.3930"
"000007","2013-09-30","24.9900"
"000007","2013-12-31","25.8300"
"000007","2014-03-31","25.2400"
"000007","2014-06-30","27.8067"
"000007","2014-09-30","26.4000"
"000007","2014-12-31","26.3264"
"000007","2015-03-31","22.5380"
"000007","2015-06-30","26.5020"
"000007","2015-09-30","26.5020"
"000007","2015-12-31","22.8512"
"000007","2016-03-31","22.8500"
"000007","2016-06-30","22.8512"
"000007","2016-09-30","30.8600"
"000007","2016-12-31","28.9800"
"000007","2017-03-31","29.0756"
"000007","2017-06-30","29.1231"
"000007","2017-09-30","31.8900"
"000007","2017-12-31","42.7200"
"000007","2018-03-31","41.6300"
"000007","2018-06-30","41.6100"
"000007","2018-09-30","38.4170"
"000007","2018-12-31","36.5500"
"000007","2019-03-31","38.0800"
"000007","2019-06-30","36.8100"
"000007","2019-09-30","36.9500"
"000007","2019-12-31","33.3000"
"000008","2009-03-31","4.0090"
"000008","2009-06-30","34.1000"
"000008","2009-09-30","32.9850"
"000008","2009-12-31","34.6800"
"000008","2010-03-31","7.3490"
"000008","2010-06-30","35.5000"
"000008","2010-09-30","32.9850"
"000008","2010-12-31","31.8100"
"000008","2011-03-31","31.2160"
"000008","2011-06-30","33.8600"
"000008","2011-09-30","32.2120"
"000008","2011-12-31","30.8600"
"000008","2012-03-31","31.4410"
"000008","2012-06-30","30.6200"
"000008","2012-09-30","30.6200"
"000008","2012-12-31","66.3300"
"000008","2013-03-31","66.3300"
"000008","2013-06-30","66.2500"
"000008","2013-09-30","66.2300"
"000008","2013-12-31","66.2300"
"000008","2014-03-31","66.2300"
"000008","2014-06-30","66.2370"
"000008","2014-09-30","56.6728"
"000008","2014-12-31","57.7374"
"000008","2015-03-31","45.6363"
"000008","2015-06-30","47.4827"
"000008","2015-09-30","45.3064"
"000008","2015-12-31","42.5954"
"000008","2016-03-31","14.7136"
"000008","2016-06-30","19.6134"
"000008","2016-09-30","15.9310"
"000008","2016-12-31","34.1211"
"000008","2017-03-31","38.0895"
"000008","2017-06-30","38.6832"
"000008","2017-09-30","43.1750"
"000008","2017-12-31","44.8061"
"000008","2018-03-31","32.0825"
"000008","2018-06-30","32.6299"
"000008","2018-09-30","28.6250"
"000008","2018-12-31","45.4654"
"000008","2019-03-31","41.6558"
"000008","2019-06-30","43.2851"
"000008","2019-09-30","39.1515"
"000008","2019-12-31","43.5006"
"000009","2009-03-31","15.2408"
"000009","2009-06-30","64.5368"
"000009","2009-09-30","30.3104"
"000009","2009-12-31","51.8276"
"000009","2010-03-31","28.9691"
"000009","2010-06-30","63.2235"
"000009","2010-09-30","53.5065"
"000009","2010-12-31","54.9237"
"000009","2011-03-31","35.9879"
"000009","2011-06-30","44.7143"
"000009","2011-09-30","44.3225"
"000009","2011-12-31","47.9731"
"000009","2012-03-31","26.8115"
"000009","2012-06-30","35.8124"
"000009","2012-09-30","27.8610"
"000009","2012-12-31","36.3632"
"000009","2013-03-31","29.9470"
"000009","2013-06-30","33.5929"
"000009","2013-09-30","27.4110"
"000009","2013-12-31","33.1002"
"000009","2014-03-31","27.0644"
"000009","2014-06-30","32.8642"
"000009","2014-09-30","24.9053"
"000009","2014-12-31","28.9325"
"000009","2015-03-31","23.2168"
"000009","2015-06-30","29.0593"
"000009","2015-09-30","26.2026"
"000009","2015-12-31","24.3285"
"000009","2016-03-31","21.8246"
"000009","2016-06-30","20.8767"
"000009","2016-09-30","18.6084"
"000009","2016-12-31","20.4071"
"000009","2017-03-31","19.0196"
"000009","2017-06-30","20.6189"
"000009","2017-09-30","19.4451"
"000009","2017-12-31","20.8266"
"000009","2018-03-31","19.4657"
"000009","2018-06-30","21.0537"
"000009","2018-09-30","19.8930"
"000009","2018-12-31","21.9795"
"000009","2019-03-31","20.5023"
"000009","2019-06-30","22.4616"
