Stkcd,Trddt,INST,Trdmnt,Year,Month
1,2009-03-31,49.1334,2009-03,2009,3
1,2009-06-30,67.618301,2009-06,2009,6
1,2009-09-30,49.772099,2009-09,2009,9
1,2009-12-31,65.591904,2009-12,2009,12
1,2010-03-31,47.208698,2010-03,2010,3
1,2010-06-30,61.429798,2010-06,2010,6
1,2010-09-30,39.613701,2010-09,2010,9
1,2010-12-31,53.946999,2010-12,2010,12
1,2011-03-31,36.193199,2011-03,2011,3
1,2011-06-30,57.219002,2011-06,2011,6
1,2011-09-30,28.0653,2011-09,2011,9
1,2011-12-31,71.000504,2011-12,2011,12
1,2012-03-31,27.5886,2012-03,2012,3
1,2012-06-30,67.807602,2012-06,2012,6
1,2012-09-30,63.778,2012-09,2012,9
1,2012-12-31,67.582199,2012-12,2012,12
1,2013-03-31,64.557899,2013-03,2013,3
1,2013-06-30,65.3564,2013-06,2013,6
1,2013-09-30,61.702,2013-09,2013,9
1,2013-12-31,70.077499,2013-12,2013,12
1,2014-03-31,65.5252,2014-03,2014,3
1,2014-06-30,69.0802,2014-06,2014,6
1,2014-09-30,66.106102,2014-09,2014,9
1,2014-12-31,68.531303,2014-12,2014,12
1,2015-03-31,64.933998,2015-03,2015,3
1,2015-06-30,66.075401,2015-06,2015,6
1,2015-09-30,67.143402,2015-09,2015,9
1,2015-12-31,68.7285,2015-12,2015,12
1,2016-03-31,67.306503,2016-03,2016,3
1,2016-06-30,67.358597,2016-06,2016,6
1,2016-09-30,66.602097,2016-09,2016,9
1,2016-12-31,68.191597,2016-12,2016,12
1,2017-03-31,66.848198,2017-03,2017,3
1,2017-06-30,68.913902,2017-06,2017,6
1,2017-09-30,68.355202,2017-09,2017,9
1,2017-12-31,71.361,2017-12,2017,12
1,2018-03-31,67.3134,2018-03,2018,3
1,2018-06-30,67.770203,2018-06,2018,6
1,2018-09-30,68.018303,2018-09,2018,9
1,2018-12-31,69.190804,2018-12,2018,12
1,2019-03-31,69.862801,2019-03,2019,3
1,2019-06-30,72.412804,2019-06,2019,6
1,2019-09-30,73.554398,2019-09,2019,9
1,2019-12-31,75.720901,2019-12,2019,12
2,2009-03-31,37.4147,2009-03,2009,3
2,2009-06-30,52.677502,2009-06,2009,6
2,2009-09-30,32.718399,2009-09,2009,9
2,2009-12-31,31.146999,2009-12,2009,12
2,2010-03-31,27.097601,2010-03,2010,3
2,2010-06-30,28.395599,2010-06,2010,6
2,2010-09-30,34.607201,2010-09,2010,9
2,2010-12-31,39.486,2010-12,2010,12
2,2011-03-31,32.295502,2011-03,2011,3
2,2011-06-30,35.010101,2011-06,2011,6
2,2011-09-30,32.865799,2011-09,2011,9
2,2011-12-31,38.964001,2011-12,2011,12
2,2012-03-31,36.787102,2012-03,2012,3
2,2012-06-30,47.7006,2012-06,2012,6
2,2012-09-30,43.594898,2012-09,2012,9
2,2012-12-31,47.492699,2012-12,2012,12
2,2013-03-31,43.974499,2013-03,2013,3
2,2013-06-30,47.709499,2013-06,2013,6
2,2013-09-30,36.658798,2013-09,2013,9
2,2013-12-31,36.909199,2013-12,2013,12
2,2014-03-31,33.7327,2014-03,2014,3
2,2014-06-30,48.281502,2014-06,2014,6
2,2014-09-30,47.0495,2014-09,2014,9
2,2014-12-31,49.818298,2014-12,2014,12
2,2015-03-31,41.794399,2015-03,2015,3
2,2015-06-30,42.163601,2015-06,2015,6
2,2015-09-30,53.7467,2015-09,2015,9
2,2015-12-31,58.209599,2015-12,2015,12
2,2017-03-31,58.198898,2017-03,2017,3
2,2017-06-30,66.956299,2017-06,2017,6
2,2017-09-30,70.578598,2017-09,2017,9
2,2017-12-31,71.902,2017-12,2017,12
2,2018-03-31,70.493202,2018-03,2018,3
2,2018-06-30,71.980904,2018-06,2018,6
2,2018-09-30,75.532898,2018-09,2018,9
