"Markettype","Trddt","Cdretwdtl"
"10","2008-01-02","0.003971"
"5","2008-01-02","0.004556"
"15","2008-01-02","0.004550"
"21","2008-01-02","0.004556"
"31","2008-01-02","0.004550"
"37","2008-01-02","0.004556"
"47","2008-01-02","0.004550"
"53","2008-01-02","0.004556"
"63","2008-01-02","0.004550"
"69","2008-01-02","0.004556"
"79","2008-01-02","0.004550"
"85","2008-01-02","0.004556"
"95","2008-01-02","0.004550"
"101","2008-01-02","0.004556"
"111","2008-01-02","0.004550"
"117","2008-01-02","0.004556"
"127","2008-01-02","0.004550"
"33","2008-01-02","0.001887"
"20","2008-01-02","0.017914"
"10","2008-01-03","0.009260"
"5","2008-01-03","0.010234"
"15","2008-01-03","0.010224"
"21","2008-01-03","0.010234"
"31","2008-01-03","0.010224"
"37","2008-01-03","0.010234"
"47","2008-01-03","0.010224"
"53","2008-01-03","0.010234"
"63","2008-01-03","0.010224"
"69","2008-01-03","0.010234"
"79","2008-01-03","0.010224"
"85","2008-01-03","0.010234"
"95","2008-01-03","0.010224"
"101","2008-01-03","0.010234"
"111","2008-01-03","0.010224"
"117","2008-01-03","0.010234"
"127","2008-01-03","0.010224"
"33","2008-01-03","0.008873"
"20","2008-01-03","0.016729"
"10","2008-01-04","0.002182"
"5","2008-01-04","0.008505"
"15","2008-01-04","0.008442"
"21","2008-01-04","0.008505"
"31","2008-01-04","0.008442"
"37","2008-01-04","0.008505"
"47","2008-01-04","0.008442"
"53","2008-01-04","0.008505"
"63","2008-01-04","0.008442"
"69","2008-01-04","0.008505"
"79","2008-01-04","0.008442"
"85","2008-01-04","0.008505"
"95","2008-01-04","0.008442"
"101","2008-01-04","0.008505"
"111","2008-01-04","0.008442"
"117","2008-01-04","0.008505"
"127","2008-01-04","0.008442"
"33","2008-01-04","0.008138"
"20","2008-01-04","0.010252"
"10","2008-01-07","-0.004517"
"5","2008-01-07","0.007280"
"15","2008-01-07","0.007164"
"21","2008-01-07","0.007280"
"31","2008-01-07","0.007164"
"37","2008-01-07","0.007280"
"47","2008-01-07","0.007164"
"53","2008-01-07","0.007280"
"63","2008-01-07","0.007164"
"69","2008-01-07","0.007280"
"79","2008-01-07","0.007164"
"85","2008-01-07","0.007280"
"95","2008-01-07","0.007164"
"101","2008-01-07","0.007280"
"111","2008-01-07","0.007164"
"117","2008-01-07","0.007280"
"127","2008-01-07","0.007164"
"33","2008-01-07","0.006055"
"20","2008-01-07","0.013162"
"10","2008-01-08","-0.006861"
"5","2008-01-08","-0.003592"
"15","2008-01-08","-0.003624"
"21","2008-01-08","-0.003592"
"31","2008-01-08","-0.003624"
"37","2008-01-08","-0.003592"
"47","2008-01-08","-0.003624"
"53","2008-01-08","-0.003592"
"63","2008-01-08","-0.003624"
"69","2008-01-08","-0.003592"
"79","2008-01-08","-0.003624"
"85","2008-01-08","-0.003592"
"95","2008-01-08","-0.003624"
"101","2008-01-08","-0.003592"
"111","2008-01-08","-0.003624"
"117","2008-01-08","-0.003592"
"127","2008-01-08","-0.003624"
"33","2008-01-08","-0.001062"
"20","2008-01-08","-0.015446"
"10","2008-01-09","0.005212"
"5","2008-01-09","0.011692"
"15","2008-01-09","0.011630"
"21","2008-01-09","0.011692"
"31","2008-01-09","0.011630"
"37","2008-01-09","0.011692"
"47","2008-01-09","0.011630"
"53","2008-01-09","0.011692"
"63","2008-01-09","0.011630"
"69","2008-01-09","0.011692"
"79","2008-01-09","0.011630"
"85","2008-01-09","0.011692"
"95","2008-01-09","0.011630"
"101","2008-01-09","0.011692"
"111","2008-01-09","0.011630"
"117","2008-01-09","0.011692"
"127","2008-01-09","0.011630"
"33","2008-01-09","0.009149"
"20","2008-01-09","0.023727"
"10","2008-01-10","-0.002620"
"5","2008-01-10","0.005098"
"15","2008-01-10","0.005025"
"21","2008-01-10","0.005098"
"31","2008-01-10","0.005025"
"37","2008-01-10","0.005098"
"47","2008-01-10","0.005025"
"53","2008-01-10","0.005098"
"63","2008-01-10","0.005025"
"69","2008-01-10","0.005098"
"79","2008-01-10","0.005025"
"85","2008-01-10","0.005098"
"95","2008-01-10","0.005025"
"101","2008-01-10","0.005098"
"111","2008-01-10","0.005025"
"117","2008-01-10","0.005098"
"127","2008-01-10","0.005025"
"33","2008-01-10","0.003928"
"20","2008-01-10","0.010608"
"10","2008-01-11","-0.002327"
"5","2008-01-11","0.004145"
"15","2008-01-11","0.004084"
"21","2008-01-11","0.004145"
"31","2008-01-11","0.004084"
"37","2008-01-11","0.004145"
"47","2008-01-11","0.004084"
"53","2008-01-11","0.004145"
"63","2008-01-11","0.004084"
"69","2008-01-11","0.004145"
"79","2008-01-11","0.004084"
"85","2008-01-11","0.004145"
"95","2008-01-11","0.004084"
"101","2008-01-11","0.004145"
"111","2008-01-11","0.004084"
"117","2008-01-11","0.004145"
"127","2008-01-11","0.004084"
"33","2008-01-11","0.005190"
"20","2008-01-11","-0.000865"
"10","2008-01-14","0.004403"
"5","2008-01-14","0.004058"
"15","2008-01-14","0.004061"
"21","2008-01-14","0.004058"
