date,rf
01jan2000,.000054
02jan2000,.000054
03jan2000,.000054
04jan2000,.000054
05jan2000,.000054
06jan2000,.000054
07jan2000,.000054
08jan2000,.000054
09jan2000,.000054
10jan2000,.000054
11jan2000,.000054
12jan2000,.000054
13jan2000,.000054
14jan2000,.000054
15jan2000,.000054
16jan2000,.000054
17jan2000,.000054
18jan2000,.000054
19jan2000,.000054
20jan2000,.000054
21jan2000,.000054
22jan2000,.000054
23jan2000,.000054
24jan2000,.000054
25jan2000,.000054
26jan2000,.000054
27jan2000,.000054
28jan2000,.000054
29jan2000,.000054
30jan2000,.000054
31jan2000,.000054
01feb2000,.000054
02feb2000,.000054
03feb2000,.000054
04feb2000,.000054
05feb2000,.000054
06feb2000,.000054
07feb2000,.000054
08feb2000,.000054
09feb2000,.000054
10feb2000,.000054
11feb2000,.000054
12feb2000,.000054
13feb2000,.000054
14feb2000,.000054
15feb2000,.000054
16feb2000,.000054
17feb2000,.000054
18feb2000,.000054
19feb2000,.000054
20feb2000,.000054
21feb2000,.000054
22feb2000,.000054
23feb2000,.000054
24feb2000,.000054
25feb2000,.000054
26feb2000,.000054
27feb2000,.000054
28feb2000,.000054
29feb2000,.000054
01mar2000,.000054
02mar2000,.000054
03mar2000,.000054
04mar2000,.000054
05mar2000,.000054
06mar2000,.000054
07mar2000,.000054
08mar2000,.000054
09mar2000,.000054
10mar2000,.000054
11mar2000,.000054
12mar2000,.000054
13mar2000,.000054
14mar2000,.000054
15mar2000,.000054
16mar2000,.000054
17mar2000,.000054
18mar2000,.000054
19mar2000,.000054
20mar2000,.000054
21mar2000,.000054
22mar2000,.000054
23mar2000,.000054
24mar2000,.000054
25mar2000,.000054
26mar2000,.000054
27mar2000,.000054
28mar2000,.000054
29mar2000,.000054
30mar2000,.000054
31mar2000,.000054
01apr2000,.000054
02apr2000,.000054
03apr2000,.000054
04apr2000,.000054
05apr2000,.000054
06apr2000,.000054
07apr2000,.000054
08apr2000,.000054
09apr2000,.000054
10apr2000,.000054
11apr2000,.000054
12apr2000,.000054
13apr2000,.000054
14apr2000,.000054
15apr2000,.000054
16apr2000,.000054
17apr2000,.000054
18apr2000,.000054
19apr2000,.000054
20apr2000,.000054
21apr2000,.000054
22apr2000,.000054
23apr2000,.000054
24apr2000,.000054
25apr2000,.000054
26apr2000,.000054
27apr2000,.000054
28apr2000,.000054
29apr2000,.000054
30apr2000,.000054
01may2000,.000054
02may2000,.000054
03may2000,.000054
04may2000,.000054
05may2000,.000054
06may2000,.000054
07may2000,.000054
08may2000,.000054
09may2000,.000054
10may2000,.000054
11may2000,.000054
12may2000,.000054
13may2000,.000054
14may2000,.000054
15may2000,.000054
16may2000,.000054
17may2000,.000054
18may2000,.000054
19may2000,.000054
20may2000,.000054
21may2000,.000054
22may2000,.000054
23may2000,.000054
24may2000,.000054
25may2000,.000054
26may2000,.000054
27may2000,.000054
28may2000,.000054
29may2000,.000054
30may2000,.000054
31may2000,.000054
01jun2000,.000054
02jun2000,.000054
03jun2000,.000054
04jun2000,.000054
05jun2000,.000054
06jun2000,.000054
07jun2000,.000054
08jun2000,.000054
09jun2000,.000054
10jun2000,.000054
11jun2000,.000054
12jun2000,.000054
13jun2000,.000054
14jun2000,.000054
15jun2000,.000054
16jun2000,.000054
17jun2000,.000054
18jun2000,.000054
19jun2000,.000054
20jun2000,.000054
21jun2000,.000054
22jun2000,.000054
23jun2000,.000054
24jun2000,.000054
25jun2000,.000054
26jun2000,.000054
27jun2000,.000054
28jun2000,.000054
