Year,Month,rf,month
1989,2,.0063,1989m2
1989,3,.0063,1989m3
1989,4,.0063,1989m4
1989,5,.0063,1989m5
1989,6,.0063,1989m6
1989,7,.0063,1989m7
1989,8,.0063,1989m8
1989,9,.0063,1989m9
1989,10,.0063,1989m10
1989,11,.0063,1989m11
1989,12,.0063,1989m12
1990,1,.0063,1990m1
1990,2,.0063,1990m2
1990,3,.0063,1990m3
1990,4,.00574,1990m4
1990,5,.00525,1990m5
1990,6,.00525,1990m6
1990,7,.00525,1990m7
1990,8,.004665,1990m8
1990,9,.0036,1990m9
1990,10,.0036,1990m10
1990,11,.0036,1990m11
1990,12,.0036,1990m12
1991,1,.0036,1991m1
1991,2,.0036,1991m2
1991,3,.0036,1991m3
1991,4,.0033,1991m4
1991,5,.0027,1991m5
1991,6,.0027,1991m6
1991,7,.0027,1991m7
1991,8,.0027,1991m8
1991,9,.0027,1991m9
1991,10,.0027,1991m10
1991,11,.0027,1991m11
1991,12,.0027,1991m12
1992,1,.0027,1992m1
1992,2,.0027,1992m2
1992,3,.0027,1992m3
1992,4,.0027,1992m4
1992,5,.0027,1992m5
1992,6,.0027,1992m6
1992,7,.0027,1992m7
1992,8,.0027,1992m8
1992,9,.0027,1992m9
1992,10,.0027,1992m10
1992,11,.0027,1992m11
1992,12,.0027,1992m12
1993,1,.0027,1993m1
1993,2,.0027,1993m2
1993,3,.0027,1993m3
1993,4,.0027,1993m4
1993,5,.00344,1993m5
1993,6,.00405,1993m6
1993,7,.005066,1993m7
1993,8,.00555,1993m8
1993,9,.00555,1993m9
1993,10,.00555,1993m10
1993,11,.00555,1993m11
1993,12,.00555,1993m12
1994,1,.00555,1994m1
1994,2,.00555,1994m2
1994,3,.00555,1994m3
1994,4,.00555,1994m4
1994,5,.00555,1994m5
1994,6,.00555,1994m6
1994,7,.00555,1994m7
1994,8,.00555,1994m8
1994,9,.00555,1994m9
1994,10,.00555,1994m10
1994,11,.00555,1994m11
1994,12,.00555,1994m12
1995,1,.00555,1995m1
1995,2,.00555,1995m2
1995,3,.00555,1995m3
1995,4,.00555,1995m4
1995,5,.00555,1995m5
1995,6,.00555,1995m6
1995,7,.00555,1995m7
1995,8,.00555,1995m8
1995,9,.00555,1995m9
1995,10,.00555,1995m10
1995,11,.00555,1995m11
1995,12,.00555,1995m12
1996,1,.00555,1996m1
1996,2,.00555,1996m2
1996,3,.00555,1996m3
1996,4,.00555,1996m4
1996,5,.00405,1996m5
1996,6,.00405,1996m6
1996,7,.00405,1996m7
1996,8,.00368,1996m8
1996,9,.002775,1996m9
1996,10,.002775,1996m10
1996,11,.002775,1996m11
1996,12,.002775,1996m12
1997,1,.002775,1997m1
1997,2,.002775,1997m2
1997,3,.002775,1997m3
1997,4,.002775,1997m4
1997,5,.002775,1997m5
1997,6,.002775,1997m6
1997,7,.002775,1997m7
1997,8,.002775,1997m8
1997,9,.002775,1997m9
1997,10,.002666,1997m10
1997,11,.0024,1997m11
1997,12,.0024,1997m12
1998,1,.0024,1998m1
1998,2,.0024,1998m2
1998,3,.0024,1998m3
1998,4,.0024,1998m4
1998,5,.0024,1998m5
1998,6,.0024,1998m6
1998,7,.002325,1998m7
1998,8,.002325,1998m8
1998,9,.002325,1998m9
1998,10,.002325,1998m10
1998,11,.002325,1998m11
1998,12,.002325,1998m12
1999,1,.002325,1999m1
1999,2,.002325,1999m2
1999,3,.002325,1999m3
1999,4,.002325,1999m4
1999,5,.002325,1999m5
1999,6,.001853,1999m6
1999,7,.00165,1999m7
