Stkcd,Trdmnt,SUE
1,2010-03,.30500224
1,2010-06,.46777934
1,2010-09,.71938789
1,2010-12,.74614811
1,2011-03,.46836016
1,2011-06,1.1190213
1,2011-09,1.9556502
1,2011-12,2.0310488
1,2012-03,.35711721
1,2012-06,.76876044
1,2012-09,1.0410841
1,2012-12,1.1136748
1,2013-03,.044426378
1,2013-06,.2219907
1,2013-09,.42685145
1,2013-12,.48818064
1,2014-03,.33838883
1,2014-06,.62551355
1,2014-09,1.0227953
1,2014-12,1.029048
1,2015-03,.10176194
1,2015-06,.28595945
1,2015-09,.40557081
1,2015-12,.37821659
1,2016-03,.069001958
1,2016-06,.11404027
1,2016-09,.15793987
1,2016-12,.11255287
1,2017-03,.020533694
1,2017-06,.033210464
1,2017-09,.064968072
1,2017-12,.084005088
1,2018-03,.050291926
1,2018-06,.12093113
1,2018-09,.18223232
1,2018-12,.22543833
1,2019-03,.12098505
1,2019-06,.28651014
1,2019-09,.46626139
1,2019-12,.46706057
2,2010-03,.19949785
2,2010-06,.087684862
2,2010-09,.14376578
2,2010-12,1.2063643
2,2011-03,.052418683
2,2011-06,.14719671
2,2011-09,.22358927
2,2011-12,1.3066504
2,2012-03,.059437156
2,2012-06,.25345713
2,2012-09,.53698301
2,2012-12,1.0347936
2,2013-03,.063437812
2,2013-06,.21584675
2,2013-09,.27171454
2,2013-12,.67939168
2,2014-03,-.016984332
2,2014-06,.0049538305
2,2014-09,.017046455
2,2014-12,.094844349
2,2015-03,-.16405594
2,2015-06,.044805162
2,2015-09,.082039647
2,2015-12,.36273023
2,2016-03,.028521368
2,2016-06,.082983375
2,2016-09,.22866675
2,2016-12,.53102416
2,2017-03,-.017391738
2,2017-06,.24137199
2,2017-09,.34261724
2,2017-12,.86968398
2,2018-03,.015864739
2,2018-06,.20914352
2,2018-09,.36207926
2,2018-12,.67057043
2,2019-03,.025566667
2,2019-06,.22545564
2,2019-09,.36607292
2,2019-12,.41625047
4,2010-03,
4,2010-06,.16169363
4,2010-09,1.9656518
4,2010-12,1.8204986
4,2011-03,
4,2011-06,.10913327
4,2011-09,-1.2871743
4,2011-12,-1.3522961
4,2012-03,
4,2012-06,-.37714854
4,2012-09,-.31827721
4,2012-12,-.16536048
4,2013-03,
4,2013-06,.33896863
4,2013-09,.64181054
4,2013-12,-2.9163103
4,2014-03,-2.2841311
4,2014-06,-2.5640748
4,2014-09,-2.6410999
4,2014-12,.15014569
4,2015-03,.43656853
4,2015-06,3.0605538
4,2015-09,2.9276497
4,2015-12,1.049497
4,2016-03,-.18244813
4,2016-06,.6512481
4,2016-09,5.011642
4,2016-12,2.7259493
4,2017-03,.16375363
4,2017-06,-.97877693
4,2017-09,-2.6757224
4,2017-12,-2.295975
4,2018-03,.17450918
4,2018-06,.4752962
4,2018-09,.25906652
4,2018-12,-2.9617522
4,2019-03,-.63704199
4,2019-06,-1.6424801
4,2019-09,-2.165786
4,2019-12,-.40805125
5,2010-03,-.12190954
5,2010-06,-.24524003
5,2010-09,-.42753583
5,2010-12,2.5119863
5,2011-03,
5,2011-06,-.26792249
5,2011-09,-.38542616
5,2011-12,-3.8953626
5,2012-03,
5,2012-06,-.48291937
5,2012-09,-.42211229
5,2012-12,-.5311408
5,2013-03,.12613198
5,2013-06,.27945209
5,2013-09,.50907409
5,2013-12,1.319514
5,2014-03,.025549082
5,2014-06,-.12360872
5,2014-09,-.11925852
5,2014-12,-.62991828
5,2015-03,.038598929
5,2015-06,.10843682
5,2015-09,.088345408
5,2015-12,-.040092792
5,2016-03,.029980795
5,2016-06,.58556563
5,2016-09,1.2106979
5,2016-12,1.9836938
5,2017-03,-.42778632
5,2017-06,-.61867934
5,2017-09,-.9892391
5,2017-12,-2.7697341
5,2018-03,1.7402661
5,2018-06,1.3846482
5,2018-09,1.1361644
5,2018-12,-2.3354778
5,2019-03,-.75693822
5,2019-06,-.92186725
5,2019-09,-1.2875388
5,2019-12,3.7419169
6,2010-03,-.18208802
6,2010-06,.2975778
6,2010-09,.52007496
6,2010-12,3.60937
6,2011-03,.24587956
6,2011-06,.37389758
6,2011-09,1.158178
6,2011-12,-.16808087
6,2012-03,.15270649
6,2012-06,.80187064
6,2012-09,.42010087
6,2012-12,1.1734052
6,2013-03,-.092474625
6,2013-06,.034491394
6,2013-09,.091317922
6,2013-12,.43390837
6,2014-03,-.17729072
6,2014-06,-.97717118
6,2014-09,-1.2310091
6,2014-12,-1.5797478
6,2015-03,.77605009
6,2015-06,.9866702
6,2015-09,1.0661316
6,2015-12,.69914675
6,2016-03,-1.066467
6,2016-06,-1.1455191
6,2016-09,-1.2642934
6,2016-12,2.8957055
6,2017-03,.24245523
6,2017-06,.62612766
6,2017-09,.95065367
6,2017-12,.1653607
6,2018-03,.59514236
6,2018-06,.57747912
6,2018-09,.60391903
6,2018-12,.26870552
6,2019-03,-.65994143
6,2019-06,-.79322737
6,2019-09,-.18254447
6,2019-12,-.33747807
7,2010-03,.013062521
7,2010-06,.32335129
7,2010-09,.26496613
7,2010-12,1.0995288
7,2011-03,.42389071
7,2011-06,.91850716
7,2011-09,1.1238687
7,2011-12,2.0693264
7,2012-03,.26180643
7,2012-06,.47077879
7,2012-09,.85294491
7,2012-12,.14815357
7,2013-03,-1.9423506
7,2013-06,-2.7278135
7,2013-09,-3.873338
7,2013-12,-3.1842804
7,2014-03,.0028618975
7,2014-06,.34097314
7,2014-09,.79898971
7,2014-12,.011520903
7,2015-03,.51383203
7,2015-06,-.46359131
7,2015-09,-.35973081
7,2015-12,4.4212189
7,2016-03,-.063943833
7,2016-06,-.10512903
7,2016-09,-.10691845
7,2016-12,-2.503808
7,2017-03,.72027522
7,2017-06,.34514654
7,2017-09,-.30217689
7,2017-12,1.3114026
7,2018-03,-.19735098
7,2018-06,2.2387261
7,2018-09,2.9793649
7,2018-12,-2.2706282
7,2019-03,.17044784
7,2019-06,.1314494
7,2019-09,-.10754938
7,2019-12,2.2329047
8,2010-03,.28201783
8,2010-06,1.7101961
8,2010-09,2.5336659
8,2010-12,4.8495378
8,2011-03,-.47616732
8,2011-06,-.71725178
8,2011-09,-1.0532289
8,2011-12,-1.1837906
8,2012-03,.46182087
8,2012-06,35.740456
8,2012-09,.073703304
8,2012-12,.64649457
8,2013-03,.81235403
8,2013-06,-.76255018
8,2013-09,3.0301063
8,2013-12,2.7174094
8,2014-03,-.029370664
8,2014-06,-.42399126
8,2014-09,-1.1510266
8,2014-12,-2.4087648
8,2015-03,7.9560442
8,2015-06,3.4629509
8,2015-09,3.5326617
8,2015-12,4.7205224
8,2016-03,-.82445025
8,2016-06,-.4596594
8,2016-09,.098868825
8,2016-12,4.5233245
8,2017-03,.00015706822
8,2017-06,.0037305716
8,2017-09,.022939825
8,2017-12,.18489113
8,2018-03,.009652175
8,2018-06,.061142113
8,2018-09,.081471324
8,2018-12,-.6013369
8,2019-03,.0073788436
8,2019-06,.034571908
8,2019-09,.077576473
8,2019-12,.095252842
9,2010-03,.55667841
9,2010-06,.36036146
9,2010-09,-.3664422
9,2010-12,.9149068
9,2011-03,-.92050439
9,2011-06,-.74275964
9,2011-09,.15223937
9,2011-12,-.075803116
9,2012-03,-.76226735
9,2012-06,-1.9305674
9,2012-09,-2.3865504
9,2012-12,-5.1433911
9,2013-03,.26173371
9,2013-06,.58637846
9,2013-09,-.68015522
9,2013-12,.62234688
9,2014-03,-1.02382
9,2014-06,-2.1467557
9,2014-09,-.39003021
9,2014-12,.38203332
9,2015-03,.16697696
9,2015-06,1.29561
9,2015-09,1.9665841
9,2015-12,2.5286338
9,2016-03,2.2317147
9,2016-06,1.1661775
9,2016-09,1.116362
9,2016-12,-.35740542
9,2017-03,-1.653059
9,2017-06,-1.036875
9,2017-09,-.11595755
9,2017-12,-2.8102398
9,2018-03,2.6508486
9,2018-06,-.0072258911
9,2018-09,1.3483163
9,2018-12,5.2481833
9,2019-03,-1.1498404
9,2019-06,1.28462
9,2019-09,.77333611
9,2019-12,-2.7870004
10,2010-03,-.5778566
10,2010-06,-.10930543
10,2010-09,-.10433087
10,2010-12,.98216736
10,2011-03,-.77086908
10,2011-06,-.91764003
10,2011-09,.6001187
10,2011-12,.58000112
10,2012-03,.18484503
10,2012-06,.10423326
10,2012-09,-3.7824957
10,2012-12,16.666698
10,2013-03,-.21383749
10,2013-06,.39321935
10,2013-09,.69584984
10,2013-12,-2.9245806
10,2014-03,-.042201277
10,2014-06,-.60751325
10,2014-09,-.92372841
10,2014-12,-3.5946159
10,2015-03,.23246188
10,2015-06,.45827132
10,2015-09,.62087959
10,2015-12,2.8606052
10,2016-03,-1.599233
10,2016-06,1.1663291
10,2016-09,.85678911
10,2016-12,-2.6198218
10,2017-03,.23458636
10,2017-06,-2.1695399
10,2017-09,-.30145156
10,2017-12,-28.427738
10,2018-03,-.057308361
10,2018-06,-.10484195
10,2018-09,-.5521515
10,2018-12,.982885
10,2019-03,.12195318
10,2019-06,.18273839
10,2019-09,.50830257
10,2019-12,1.7873313
11,2010-03,-.2379238
11,2010-06,.16094914
11,2010-09,-.49361363
11,2010-12,.83994746
11,2011-03,4.7305341
11,2011-06,2.2913675
11,2011-09,1.864158
11,2011-12,.8790769
11,2012-03,-2.5305889
11,2012-06,-2.1940603
11,2012-09,-1.2032307
11,2012-12,.69916987
11,2013-03,1.863233
11,2013-06,2.4139659
11,2013-09,1.4762123
11,2013-12,-.27767476
11,2014-03,-1.5438843
11,2014-06,-1.8815887
11,2014-09,-1.7016604
11,2014-12,-.36575046
11,2015-03,-.20489705
11,2015-06,-.5350762
11,2015-09,-.73933643
11,2015-12,-2.0893404
11,2016-03,-.00070587453
11,2016-06,-.36953631
11,2016-09,-.54552704
11,2016-12,3.8634827
11,2017-03,2.4303296
11,2017-06,2.5156584
11,2017-09,3.3720672
11,2017-12,.88469422
11,2018-03,-1.0092263
11,2018-06,-1.1992327
11,2018-09,-1.9313323
11,2018-12,.15707846
11,2019-03,.18316241
11,2019-06,.089848489
11,2019-09,.09200038
11,2019-12,.47476602
12,2010-03,.87429643
12,2010-06,1.4612781
12,2010-09,1.8232884
12,2010-12,1.5411447
12,2011-03,.25837639
12,2011-06,.49079433
12,2011-09,.14414853
12,2011-12,-.87233526
12,2012-03,-1.0156364
12,2012-06,-1.5468998
12,2012-09,-1.5900866
12,2012-12,-1.8733705
12,2013-03,.18417375
12,2013-06,.44602028
12,2013-09,.69095206
12,2013-12,
12,2014-03,.096530646
12,2014-06,-.46308804
12,2014-09,-1.1368562
12,2014-12,
12,2015-03,-.4430922
12,2015-06,-.93188822
12,2015-09,-1.1618602
12,2015-12,
12,2016-03,1.2666219
12,2016-06,2.8518956
12,2016-09,3.1514459
12,2016-12,
12,2017-03,-.14466643
12,2017-06,-.22406495
12,2017-09,-.023618303
12,2017-12,-.13147868
12,2018-03,.015018355
12,2018-06,-.1067287
12,2018-09,-.85359001
12,2018-12,-1.5228323
12,2019-03,-.33574253
12,2019-06,-.22592297
12,2019-09,.00094947458
12,2019-12,.033952069
14,2010-03,1.5730842
14,2010-06,.71989262
14,2010-09,-.48891231
14,2010-12,-.1554879
14,2011-03,-2.877979
14,2011-06,-2.0879145
14,2011-09,-.97225201
14,2011-12,-.43091178
14,2012-03,.24640641
14,2012-06,-.45546708
14,2012-09,-1.0688
14,2012-12,-.92997688
14,2013-03,.032366868
14,2013-06,.16928168
14,2013-09,.35628095
14,2013-12,.04337623
14,2014-03,1.7746425
14,2014-06,1.5434077
14,2014-09,1.124463
14,2014-12,1.836498
14,2015-03,-1.566893
14,2015-06,-.84368378
14,2015-09,-1.1403292
14,2015-12,-.88490057
14,2016-03,-.087791868
14,2016-06,-.86686873
14,2016-09,-.5378778
14,2016-12,-.72831738
14,2017-03,.14186931
14,2017-06,.74084193
14,2017-09,1.0978611
14,2017-12,-1.0014201
14,2018-03,.3528471
14,2018-06,-.22330302
14,2018-09,-.3705982
14,2018-12,1.2318134
14,2019-03,-1.9199783
14,2019-06,-.66785347
14,2019-09,-1.7103822
14,2019-12,.89714545
16,2010-03,-.17197883
16,2010-06,-.47584239
16,2010-09,-.55570579
16,2010-12,-1.0726167
16,2011-03,-3.3443158
16,2011-06,-4.105835
16,2011-09,-2.7097721
16,2011-12,-1.0675206
16,2012-03,.52700984
16,2012-06,1.5621645
16,2012-09,1.9707099
16,2012-12,.58022249
16,2013-03,.23624408
16,2013-06,.55564713
16,2013-09,.48417512
16,2013-12,-.36155427
16,2014-03,.18788205
16,2014-06,-6.2014718
16,2014-09,-4.6246972
16,2014-12,-3.8915827
16,2015-03,-.002060178
16,2015-06,-.91013038
16,2015-09,-2.3089354
16,2015-12,-2.6575327
16,2016-03,.072778285
16,2016-06,.7923038
16,2016-09,1.4449345
16,2016-12,2.0738728
16,2017-03,-.11429294
16,2017-06,-.039005309
16,2017-09,.10413096
16,2017-12,.48535648
16,2018-03,-.52752233
16,2018-06,-3.0362039
16,2018-09,-3.9724166
16,2018-12,-4.0960507
16,2019-03,-1.2551869
16,2019-06,-1.194836
16,2019-09,-1.9945478
16,2019-12,-3.21048
17,2010-03,.018296342
17,2010-06,.10305306
17,2010-09,.48846722
17,2010-12,2.5000207
17,2011-03,.57824033
17,2011-06,.9689604
17,2011-09,1.1486453
17,2011-12,.96162969
17,2012-03,
17,2012-06,-.57101637
17,2012-09,-1.1805934
17,2012-12,-2.9732745
17,2013-03,
17,2013-06,2.3660541
17,2013-09,2.6701152
17,2013-12,2.5543318
17,2014-03,.98721075
17,2014-06,-.19707693
17,2014-09,-.3422206
17,2014-12,-.49739143
17,2015-03,.1550103
17,2015-06,.79545718
17,2015-09,1.1663409
17,2015-12,1.7703007
17,2016-03,-.095761232
17,2016-06,-.077266157
17,2016-09,.49324584
17,2016-12,1.0406501
17,2017-03,.11192007
17,2017-06,-2.4733634
17,2017-09,-2.7257195
17,2017-12,-.60550129
17,2018-03,.058724824
17,2018-06,1.6942322
17,2018-09,1.761916
17,2018-12,-2.2435958
17,2019-03,-.46139067
17,2019-06,-1.1304584
17,2019-09,-.65236712
17,2019-12,-5.5874004
19,2010-03,-.48474184
19,2010-06,-1.567624
19,2010-09,-2.2555966
19,2010-12,-2.3190868
19,2011-03,.17137241
19,2011-06,.54671633
19,2011-09,1.6842135
19,2011-12,2.3836322
19,2012-03,.064779051
19,2012-06,-.47205418
19,2012-09,-1.5277103
19,2012-12,-1.7221237
19,2013-03,.92466629
19,2013-06,.73267692
19,2013-09,.19308203
19,2013-12,.1399601
19,2014-03,-.8367101
19,2014-06,-1.5595238
19,2014-09,-1.9479709
19,2014-12,2.5664065
19,2015-03,-.13890602
19,2015-06,1.7458568
19,2015-09,1.7424614
19,2015-12,-3.1197236
19,2016-03,.15011881
19,2016-06,-.99294347
19,2016-09,-1.1781614
19,2016-12,-1.1998129
19,2017-03,-.013672605
19,2017-06,.045936052
19,2017-09,.44035301
19,2017-12,.44108695
19,2018-03,-.05900066
19,2018-06,.023291906
19,2018-09,-.21638958
19,2018-12,-.7244904
19,2019-03,5.9292641
19,2019-06,3.7674582
19,2019-09,3.7331312
19,2019-12,2.9708185
20,2010-03,.57996184
20,2010-06,1.1458364
20,2010-09,-.13866869
20,2010-12,1.8931296
20,2011-03,-.52374285
20,2011-06,-.26663157
20,2011-09,.0037215007
20,2011-12,-.12031606
20,2012-03,.49516168
20,2012-06,-1.0481009
20,2012-09,-1.1472777
20,2012-12,-2.3717802
20,2013-03,-1.5143911
20,2013-06,-.99448043
20,2013-09,-1.3097662
20,2013-12,-2.9960432
20,2014-03,.046924237
20,2014-06,-.4555679
20,2014-09,-.35810563
20,2014-12,2.8309529
20,2015-03,-.15708718
20,2015-06,-3.416703
20,2015-09,-6.4879546
20,2015-12,-3.4844384
20,2016-03,-.0029403302
20,2016-06,1.1420717
20,2016-09,2.0949409
20,2016-12,2.5502174
20,2017-03,-.012673317
20,2017-06,-.34262916
20,2017-09,-.30891827
20,2017-12,-.26670882
20,2018-03,.016384745
20,2018-06,.22126931
20,2018-09,-.021763854
20,2018-12,-.25340194
20,2019-03,.13463442
20,2019-06,-1.3210936
20,2019-09,2.4465458
20,2019-12,2.6204383
21,2010-03,.36908078
21,2010-06,.8367129
21,2010-09,1.0403328
21,2010-12,.47784442
21,2011-03,-.335877
21,2011-06,-.77611852
21,2011-09,-.87782365
21,2011-12,-.44519547
21,2012-03,.039820492
21,2012-06,-.4123922
21,2012-09,-1.1676315
21,2012-12,-2.6111896
21,2013-03,-.3510887
21,2013-06,-.64432871
21,2013-09,-.23823392
21,2013-12,-.12501924
21,2014-03,-.6065107
21,2014-06,3.0013223
21,2014-09,4.2048264
21,2014-12,2.5051904
21,2015-03,.63509589
21,2015-06,-.23442368
21,2015-09,-.71265483
21,2015-12,.11800402
21,2016-03,-.23391107
21,2016-06,.14850205
21,2016-09,-.52885425
21,2016-12,-1.5448924
21,2017-03,-.30404544
21,2017-06,-.58810365
21,2017-09,.28731495
21,2017-12,-.33079833
21,2018-03,-.45390618
21,2018-06,-.82723778
21,2018-09,-2.2604828
21,2018-12,-3.1962166
21,2019-03,.0029268444
21,2019-06,.52922362
21,2019-09,1.9217587
21,2019-12,3.804389
23,2010-03,-.52870905
23,2010-06,-.038822938
23,2010-09,.14352947
23,2010-12,-1.1254127
23,2011-03,1.3265796
23,2011-06,.4375087
23,2011-09,-1.0314809
23,2011-12,.014286875
23,2012-03,-1.6744938
23,2012-06,-1.7198205
23,2012-09,-1.6284839
23,2012-12,-2.6504915
23,2013-03,-.20395812
23,2013-06,2.8308125
23,2013-09,2.839114
23,2013-12,2.4255996
